Year,18-19,20-24,25-29,30-34,35-39,40-44
1971,64.6,157.3,142.4,71.2,29.0,7.800000000000001
1972,62.7,137.4,122.7,60.8,24.2,6.5
1973,61.1,128.0,117.3,55.2,21.5,5.3
1974,56.4,122.3,113.7,52.4,17.7,4.6000000000000005
1975,53.0,116.8,109.3,49.6,17.5,4.4
1976,48.9,111.0,107.5,49.1,16.3,3.6
1977,49.4,114.3,112.7,52.9,16.3,3.5
1978,47.3,111.5,111.6,54.5,16.8,3.3000000000000003
1979,47.6,114.0,114.9,57.0,16.8,3.2
1980,45.9,113.4,115.3,58.0,16.3,3.2
1981,43.8,107.1,113.9,58.9,16.4,3.1
1982,43.199999999999996,105.0,112.4,61.1,17.8,3.0
1983,43.199999999999996,99.5,109.8,60.9,18.4,3.3000000000000003
1984,44.2,100.4,111.3,64.9,19.6,3.0
1985,44.4,101.0,113.9,66.5,20.5,3.3000000000000003
1986,44.9,99.9,111.9,67.3,21.0,3.2
1987,46.5,101.8,114.5,69.2,22.4,3.4000000000000004
1988,47.900000000000006,100.6,113.9,69.7,23.4,3.7
1989,55.5,108.9,121.2,73.9,25.7,3.9000000000000004
1990,60.599999999999994,111.8,125.8,77.5,27.4,4.3
1991,60.0,108.3,122.1,76.9,27.3,4.199999999999999
1992,58.300000000000004,102.1,116.6,76.7,27.9,4.7
1993,55.300000000000004,97.9,113.2,78.6,28.6,4.7
1994,54.6,96.6,111.5,80.4,29.1,5.2
1995,51.6,93.6,107.7,80.8,29.8,5.6000000000000005
1996,48.6,94.5,106.6,82.4,30.3,5.8999999999999995
1997,46.5,96.8,106.6,84.3,32.2,5.8999999999999995
1998,45.7,97.6,108.2,85.7,32.6,6.3
1999,43.599999999999994,99.2,107.8,87.9,34.0,6.2
2000,40.800000000000004,102.5,119.8,91.7,36.5,6.7
2001,38.9,97.0,118.6,92.7,36.9,7.0
2002,35.300000000000004,92.8,117.5,92.4,36.7,6.9
2003,34.9,91.8,119.8,94.4,38.9,7.4
2004,34.7,90.2,118.5,94.3,39.7,7.7
2005,33.0,90.1,116.6,93.8,39.7,7.9
2006,34.3,91.4,117.1,96.0,40.1,7.6000000000000005
2007,34.7,89.8,113.4,96.4,40.0,7.7
2008,34.099999999999994,87.2,110.7,95.4,39.4,8.5
2009,33.1,83.4,112.6,95.9,37.5,8.0
2010,30.400000000000002,84.2,114.5,95.2,38.6,8.3
2011,28.2,81.3,115.0,95.9,39.9,8.6
2012,26.400000000000002,78.1,114.1,96.1,40.7,8.4
2013,23.7,77.2,114.9,98.5,42.7,8.6
2014,21.3,75.5,115.8,101.6,43.7,8.799999999999999
2015,19.599999999999998,72.8,112.8,103.0,44.6,8.799999999999999
2016,17.8,70.8,109.7,106.2,46.1,9.299999999999999
2017,16.599999999999998,66.4,108.5,104.8,46.2,10.1
2018,15.9,63.7,104.0,105.7,46.0,10.0
2019,15.299999999999999,61.2,100.3,104.5,46.6,10.2
2020,13.2,58.1,97.4,100.9,45.8,9.799999999999999
2021,12.399999999999999,55.0,98.5,103.0,48.4,10.1
2022,12.399999999999999,55.0,98.5,103.0,48.4,10.1
2023,12.399999999999999,55.0,98.5,103.0,48.4,10.1
2024,12.399999999999999,55.0,98.5,103.0,48.4,10.1
2025,12.399999999999999,55.0,98.5,103.0,48.4,10.1
