Year,Population1,NumberLiveBirths,RateLiveBirths,NumberDeaths,RateDeaths,NumberInfantDeaths,RateInfantDeaths,NumberMaternalDeaths,RateMaternalDeaths,NumberFetalDeaths,RatioFetalDeaths
1944,"2,009,600","44,246",22,"21,144",10.5,"1,493",33.7,72,162.7,607,13.7
1945,"2,073,600","44,296",21.4,"21,292",10.3,"1,523",34.4,79,178.3,672,15.2
1946,"2,137,600","51,941",24.3,"21,620",10.1,"1,723",33.2,65,125.1,869,16.7
1947,"2,202,400","58,230",26.4,"21,763",9.9,"1,630",28,59,101.3,907,15.6
1948,"2,266,400","55,460",24.5,"21,925",9.7,"1,525",27.5,36,64.9,776,14
1949,"2,331,000","56,433",24.2,"22,420",9.6,"1,526",27,36,63.8,850,15.1
1950,"2,379,000","55,755",23.4,"22,450",9.4,"1,526",27.4,28,50.2,799,14.3
1951,"2,424,000","57,994",23.9,"23,300",9.6,"1,412",24.3,23,39.7,852,14.7
1952,"2,448,000","61,436",25.1,"22,874",9.3,"1,522",24.8,15,24.4,857,13.9
1953,"2,466,000","61,571",25,"23,279",9.4,"1,556",25.3,18,29.2,834,13.5
1954,"2,516,000","62,703",24.9,"23,238",9.2,"1,514",24.1,29,46.2,829,13.2
1955,"2,604,000","62,290",23.9,"24,410",9.4,"1,520",24.4,16,25.7,806,12.9
1956,"2,668,000","64,999",24.4,"24,207",9.1,"1,524",23.4,13,20,777,12
1957,"2,724,000","65,982",24.2,"25,140",9.2,"1,596",24.2,20,30.3,793,12
1958,"2,773,000","65,574",23.6,"25,429",9.2,"1,707",26,11,16.8,764,11.7
1959,"2,821,000","65,729",23.3,"26,229",9.3,"1,570",23.9,9,13.7,749,11.4
1960,"2,853,200","65,251",22.9,"26,505",9.3,"1,528",23.4,17,26.1,738,11.3
1961,"2,897,000","65,013",22.4,"26,353",9.1,"1,467",22.6,19,29.2,756,11.6
1962,"2,948,000","64,812",22,"27,343",9.3,"1,476",22.8,6,9.3,704,10.9
1963,"2,972,000","61,013",20.5,"27,550",9.3,"1,339",21.9,10,16.4,657,10.8
1964,"3,008,000","57,148",19,"28,106",9.3,"1,277",22.3,7,12.2,637,11.1
1965,"3,065,000","52,806",17.2,"27,379",8.9,"1,130",21.4,15,28.4,639,12.1
1966,"3,125,000","51,777",16.6,"29,035",9.3,"1,084",20.9,13,25.1,554,10.7
1967,"3,229,000","54,875",17,"29,302",9.1,"1,050",19.1,12,21.9,573,10.4
1968,"3,336,000","57,206",17.1,"30,360",9.1,"1,120",19.6,8,14,620,10.8
1969,"3,397,000","59,354",17.5,"30,504",9,"1,118",18.8,12,20.2,651,11
1970,"3,413,300","60,499",17.7,"29,901",8.8,"1,135",18.8,9,14.9,640,10.6
1971,"3,436,300","55,304",16.1,"30,318",8.8,"1,008",18.2,5,9,574,10.4
1972,"3,430,300","48,250",14.1,"29,747",8.7,805,16.7,6,12.4,428,8.9
1973,"3,444,300","47,636",13.8,"30,751",8.9,781,16.4,3,6.3,430,9
1974,"3,508,700","50,096",14.3,"29,773",8.5,763,15.2,4,8,450,9
1975,"3,567,900","50,821",14.2,"29,778",8.3,798,15.7,5,9.8,421,8.3
1976,"3,634,900","53,004",14.6,"30,275",8.3,765,14.4,3,5.7,439,8.3
1977,"3,715,400","57,256",15.4,"29,789",8,696,12.2,5,8.7,426,7.4
1978,"3,836,200","58,725",15.3,"30,469",7.9,737,12.6,4,6.8,465,7.9
1979,"3,979,200","64,377",16.2,"30,418",7.6,737,11.4,5 (8),12.4,466,7.2
1980,"4,132,400","67,989",16.5,"32,049",7.8,802,11.8,1 (10),14.7,533,7.8
1981,"4,229,300","69,987",16.5,"32,035",7.6,735,10.5,4 (7),10,487,7
1982,"4,276,500","69,681",16.3,"32,316",7.6,755,10.8,4 (8),11.5,499,7.2
1983,"4,307,200","68,794",16,"32,653",7.6,656,9.5,6,8.7,473,6.9
1984,"4,354,100","69,059",15.9,"33,809",7.8,702,10.2,7,10.1,444,6.4
1985,"4,415,800","70,357",15.9,"34,478",7.8,749,10.6,5,7.1,403,5.7
1986,"4,462,200","69,572",15.6,"34,176",7.7,676,9.7,2,2.9,445,6.4
1987,"4,527,100","70,409",15.6,"34,983",7.7,683,9.7,1,1.4,411,5.8
1988,"4,616,900","72,660",15.7,"36,341",7.9,656,9,1,1.4,381,5.2
1989,"4,728,100","75,595",16,"36,130",7.6,694,9.2,2,2.6,388,5.1
1990,"4,866,700","79,468",16.3,"37,047",7.6,622,7.8,4 (5),5,462,5.8
1991,"5,021,335","79,962",15.9,"37,028",7.4,603,7.5,3 (8),3.8,426,5.3
1992,"5,141,177","79,897",15.5,"38,095",7.4,540,6.8,3 (6),3.8,448,5.6
1993,"5,265,688","78,771",15,"40,380",7.7,495,6.3,6 (8),7.6,396,5
1994,"5,364,338","77,368",14.4,"39,906",7.4,478,6.2,3 (4),3.9,443,5.7
1995,"5,470,104","77,240",14.1,"40,729",7.4,449,5.8,0 (3),0,419,5.4
1996,"5,567,764","77,874",14,"42,248",7.6,467,6,3 (6),3.9,462,5.9
1997,"5,663,763","78,141",13.8,"41,429",7.3,440,5.6,2,2.6,457,5.8
1998,"5,750,033","79,640",13.9,"42,585",7.4,452,5.7,3,3.8,471,5.9
1999,"5,830,835","79,577",13.6,43793,7.5,401,5,6,7.5,468,5.9
2000,"5,894,121","81,004",13.7,"43,904",7.4,423,5.2,3,3.7,437,5.4
2001,"5,974,900","79,542",13.3,"44,563",7.5,461,5.8,9,11.3,418,5.3
2002,"6,041,710","79,003",13.1,"45,244",8,452,5.7,7,8.9,434,5.5
2003,"6,098,300","80,482",13.2,"45,807",8,447,5.6,2,2.5,498,6.2
2004,"6,167,800","81,715",13.2,"44,703",7.2,451,5.5,*22,26.9,432,5.3
2005,"6,256,400","82,625",13.2,"46,015",7.3,420,5.1,*26,31.5,519,6.3
2006,"6,375,600","86,845",13.6,"45,878",7.2,406,4.7,*20,23,490,5.6
2007,"6,488,000","88,921",13.7,"47,115",7.3,427,4.8,*18,20.2,493,5.5
2008,"6,587,600","90,270",13.7,"48,551",7.4,491,5.4,*19,21,543,6
2009,"6,668,200","89,242",13.4,"48,202",7.2,438,4.9,*30,33.6,497,5.6
2010,"6,724,540","86,480",12.9,"47,981",7.1,389,4.5,*18,20.8,499,5.8
2011,"6,767,900","86,929",12.8,"49,386",7.3,387,4.5,21,24.2,585,6.7
2012,"6,817,770","87,417",12.8,"50,057",7.3,442,5.1,25,28.6,500,5.7
2013,"6,882,400","86,566",12.6,"51,038",7.4,382,4.4,26,30,532,6.1
2014,"6,968,170","88,561",12.7,"52,028",7.5,402,4.5,27,30.5,543,6.1
2015,"7,061,410","89,000",12.6,"54,514",7.7,431,4.8,25,28.1,508,5.7
2016,"7,183,700","90,489",12.6,"54,748",7.6,390,4.3,31,34.3,507,5.6
2017,,"91,000",,,,,,,,,
2018,,"92,000",,,,,,,,,
2019,,"93,000",,,,,,,,,
2020,,"94,000",,,,,,,,,
2021,,"95,000",,,,,,,,,
2022,,"96,000",,,,,,,,,
