Year,State,Deaths,MortalityRate,Population,sourceDeaths,NextPopulation,PopulationChange,Population Retained,Domestic Immigrants,Foreign Immigrants,Total Immigrants,Total Emigrants,CrudeBirthRate,Births
1967,Alabama,31875,9.4,3390938,calculated from mortality rate and population estimate,3373195,-17742.5,,,,,,18.443,62539
1968,Alabama,33553,9.899,3389630,NCHS,3390938,1307.5,,,,,,17.711,60034
1969,Alabama,33808,9.884,3420646,NCHS,3389630,-31016.0,,,,,,17.066,58377
1970,Alabama,33743,9.777999999999999,3450966,NCHS,3420646,-30320.0,,,,,,16.519,57007
1971,Alabama,33777,9.641,3503319,NCHS,3450966,-52353.0,,,,,,16.071,56302
1972,Alabama,34572,9.763,3541028,NCHS,3503319,-37709.0,,,,,,15.702,55601
1973,Alabama,35408,9.891,3579861,NCHS,3541028,-38833.0,,,,,,15.398,55123
1974,Alabama,34737,9.576,3627380,NCHS,3579861,-47519.0,,,,,,15.155,54973
1975,Alabama,33658,9.148,3679228,NCHS,3627380,-51848.0,,,,,,14.976,55100
1976,Alabama,34193,9.149,3737368,NCHS,3679228,-58140.0,,,,,,14.867,55563
1977,Alabama,34827,9.196,3787228,NCHS,3737368,-49860.0,,,,,,14.825,56146
1978,Alabama,34680,9.04,3836401,NCHS,3787228,-49173.0,,,,,,14.845,56951
1979,Alabama,34457,8.896,3873403,NCHS,3836401,-37002.0,,,,,,14.915,57772
1980,Alabama,35542,9.118,3898117,NCHS,3873403,-24714.0,,,,,,15.021,58554
1981,Alabama,35412,9.033,3920097,NCHS,3898117,-21980.0,,,,,,15.15,59389
1982,Alabama,35002,8.916,3925924,NCHS,3920097,-5827.0,,,,,,15.288,60020
1983,Alabama,35560,9.04,3933838,NCHS,3925924,-7914.0,,,,,,15.421,60664
1984,Alabama,36536,9.244,3952400,NCHS,3933838,-18562.0,,,,,,15.537,61408
1985,Alabama,37603,9.462,3974101,NCHS,3952400,-21701.0,,,,,,15.63,62115
1986,Alabama,37718,9.446,3993162,NCHS,3974101,-19061.0,,,,,,15.698,62685
1987,Alabama,37708,9.387,4017181,NCHS,3993162,-24019.0,,,,,,15.746,63255
1988,Alabama,39127,9.716000000000001,4027045,NCHS,4017181,-9864.0,,,,,,15.776,63531
1989,Alabama,39006,9.667,4034980,NCHS,4027045,-7935.0,,,,,,15.783,63684
1990,Alabama,39381,9.738999999999999,4043643,NCHS,4034980,-8663.0,,,,,,15.756,63712
1991,Alabama,40063,9.767999999999999,4101607,NCHS,4043643,-57964.0,,,,,,15.684,64330
1992,Alabama,39352,9.469,4155699,NCHS,4101607,-54092.0,,,,,,15.562,64671
1993,Alabama,41272,9.789,4216208,NCHS,4155699,-60509.0,,,,,,15.396,64913
1994,Alabama,41708,9.785,4262457,NCHS,4216208,-46249.0,,,,,,15.195,64768
1995,Alabama,42362,9.854,4298981,NCHS,4262457,-36524.0,,,,,,14.974,64373
1996,Alabama,42827,9.881,4334219,NCHS,4298981,-35238.0,,,,,,14.755,63951
1997,Alabama,43258,9.898,4370490,NCHS,4334219,-36271.0,,,,,,14.556,63617
1998,Alabama,43950,9.97,4408398,NCHS,4370490,-37908.0,,,,,,14.391,63441
1999,Alabama,44806,10.113999999999999,4430141,NCHS,4408398,-21743.0,,,,,,14.266,63200
2000,Alabama,45062,10.133,4447100,NCHS,4430141,-16959.0,,,,,,14.185,63082
2001,Alabama,45316,10.142999999999999,4467634,NCHS,4447100,-20534.0,,,,,,14.145,63195
2002,Alabama,46069,10.283,4480089,NCHS,4467634,-12455.0,,,,,,14.13,63304
2003,Alabama,46716,10.373,4503491,NCHS,4480089,-23402.0,,,,,,14.123,63603
2004,Alabama,46121,10.18,4530729,NCHS,4503491,-27238.0,,,,,,14.11,63929
2005,Alabama,47090,10.305,4569805,NCHS,4530729,-39076.0,,789319.0,,789319.0,97191.0,14.074,64315
2006,Alabama,46977,10.148,4628981,NCHS,4569805,-59176.0,,833381.0,,833381.0,101626.0,13.993,64773
2007,Alabama,46696,9.993,4672840,NCHS,4628981,-43859.0,,855487.0,,855487.0,113085.0,13.862,64775
2008,Alabama,47707,10.111,4718206,NCHS,4672840,-45366.0,,795670.0,,795670.0,100849.0,13.684,64564
2009,Alabama,47470,9.977,4757938,NCHS,4718206,-39732.0,,811154.0,,811154.0,106681.0,13.466,64070
2010,Alabama,48038,10.05,4779736,NCHS,4757938,-21798.0,4607620.0,108723.0,13166.0,121889.0,99221.0,13.228,63226
2011,Alabama,48681,10.136000000000001,4802740,NCHS,4779736,-23004.0,4612735.0,117726.0,14817.0,132543.0,106806.0,12.996,62416
2012,Alabama,49301,10.224,4822023,NCHS,4802740,-19283.0,4644586.0,104600.0,15242.0,119842.0,109210.0,12.795,61698
2013,Alabama,50189,10.383,4833722,NCHS,4822023,-11699.0,4662266.0,104102.0,14928.0,119030.0,97219.0,12.642,61108
2014,Alabama,50215,10.355,4849377,NCHS,4833722,-15655.0,4670733.0,107919.0,13279.0,121198.0,111655.0,12.544,60831
2015,Alabama,51909,10.683,4858979,NCHS,4849377,-9602.0,4674964.0,114876.0,11759.0,126635.0,100809.0,12.499,60732
2016,Alabama,52466,10.788,4863300,NCHS,4858979,-4321.0,4671844.0,122220.0,16062.0,138282.0,99892.0,12.16,59138
2017,Alabama,53238,10.921,4874747,NCHS,4863300,-11447.0,4693873.0,111803.0,13667.0,125470.0,101466.0,12.09,58936
2018,Alabama,54352,11.12,4887871,NCHS,4874747,-13124.0,4707940.0,109301.0,15117.0,124418.0,98194.0,11.82,57775
2019,Alabama,54108,11.035,4903185,NCHS,4887871,-15314.0,4732540.0,104780.0,12189.0,116969.0,98704.0,11.95,58593
2020,Alabama,64779,13.162,4921532,NCHS,,,,,,,,11.71,57631
2021,Alabama,63217,12.86380000000031,4914384,,,,,,,,,11.63399999999993,57173
2022,Alabama,65526,13.35000000000025,4908340,,,,,,,,,11.529999999999944,56593
2023,Alabama,67789,13.83620000000019,4899407,,,,,,,,,11.42599999999993,55980
2024,Alabama,70002,14.322400000000243,4887599,,,,,,,,,11.321999999999946,55337
2025,Alabama,72161,14.808600000000183,4872934,,,,,,,,,11.217999999999961,54664
1914,Alaska,806,13.3,60628,calculated from mortality rate and population estimate,4921532,4860904.0,,,,,,29.9,1813
1915,Alaska,788,13.2,59696,calculated from mortality rate and population estimate,60628,932.0,,,,,,29.5,1761
1916,Alaska,811,13.8,58764,calculated from mortality rate and population estimate,59696,932.0,,,,,,29.1,1710
1917,Alaska,810,14.0,57832,calculated from mortality rate and population estimate,58764,932.0,,,,,,28.5,1648
1918,Alaska,1030,18.1,56900,calculated from mortality rate and population estimate,57832,932.0,,,,,,28.2,1605
1919,Alaska,722,12.9,55968,calculated from mortality rate and population estimate,56900,932.0,,,,,,26.1,1461
1920,Alaska,715,13.0,55036,calculated from mortality rate and population estimate,55968,932.0,,,,,,27.7,1524
1921,Alaska,638,11.5,55460,calculated from mortality rate and population estimate,55036,-424.1999999999971,,,,,,28.1,1558
1922,Alaska,654,11.7,55884,calculated from mortality rate and population estimate,55460,-424.20000000000437,,,,,,26.2,1464
1923,Alaska,681,12.1,56309,calculated from mortality rate and population estimate,55884,-424.1999999999971,,,,,,26.0,1464
1924,Alaska,658,11.6,56733,calculated from mortality rate and population estimate,56309,-424.20000000000437,,,,,,26.1,1481
1925,Alaska,669,11.7,57157,calculated from mortality rate and population estimate,56733,-424.1999999999971,,,,,,25.1,1435
1926,Alaska,697,12.1,57581,calculated from mortality rate and population estimate,57157,-424.1999999999971,,,,,,24.2,1393
1927,Alaska,655,11.3,58005,calculated from mortality rate and population estimate,57581,-424.20000000000437,,,,,,23.5,1363
1928,Alaska,701,12.0,58430,calculated from mortality rate and population estimate,58005,-424.1999999999971,,,,,,22.2,1297
1929,Alaska,700,11.9,58854,calculated from mortality rate and population estimate,58430,-424.20000000000437,,,,,,21.2,1248
1930,Alaska,670,11.3,59278,calculated from mortality rate and population estimate,58854,-424.1999999999971,,,,,,21.3,1263
1931,Alaska,673,11.1,60603,calculated from mortality rate and population estimate,59278,-1324.5999999999985,,,,,,20.2,1224
1932,Alaska,675,10.9,61927,calculated from mortality rate and population estimate,60603,-1324.5999999999985,,,,,,19.5,1208
1933,Alaska,677,10.7,63252,calculated from mortality rate and population estimate,61927,-1324.6000000000058,,,,,,18.4,1164
1934,Alaska,717,11.1,64576,calculated from mortality rate and population estimate,63252,-1324.5999999999985,,,,,,19.0,1227
1935,Alaska,718,10.9,65901,calculated from mortality rate and population estimate,64576,-1324.5999999999985,,,,,,18.7,1232
1936,Alaska,780,11.6,67226,calculated from mortality rate and population estimate,65901,-1324.6000000000058,,,,,,19.0,1277
1937,Alaska,775,11.3,68550,calculated from mortality rate and population estimate,67226,-1324.5999999999913,,,,,,18.7,1282
1938,Alaska,741,10.6,69875,calculated from mortality rate and population estimate,68550,-1324.6000000000058,,,,,,19.2,1342
1939,Alaska,755,10.6,71199,calculated from mortality rate and population estimate,69875,-1324.5999999999913,,,,,,18.8,1339
1940,Alaska,783,10.8,72524,calculated from mortality rate and population estimate,71199,-1324.6000000000058,,,,,,19.4,1407
1941,Alaska,820,10.5,78136,calculated from mortality rate and population estimate,72524,-5611.899999999994,,,,,,20.3,1586
1942,Alaska,863,10.3,83748,calculated from mortality rate and population estimate,78136,-5611.900000000009,,,,,,22.2,1859
1943,Alaska,974,10.9,89360,calculated from mortality rate and population estimate,83748,-5611.899999999994,,,,,,22.7,2028
1944,Alaska,1007,10.6,94972,calculated from mortality rate and population estimate,89360,-5611.900000000009,,,,,,21.2,2013
1945,Alaska,1066,10.6,100584,calculated from mortality rate and population estimate,94972,-5611.899999999994,,,,,,20.4,2052
1946,Alaska,1062,10.0,106195,calculated from mortality rate and population estimate,100584,-5611.899999999994,,,,,,24.1,2559
1947,Alaska,1129,10.1,111807,calculated from mortality rate and population estimate,106195,-5611.899999999994,,,,,,26.6,2974
1948,Alaska,1162,9.9,117419,calculated from mortality rate and population estimate,111807,-5611.900000000009,,,,,,24.9,2924
1949,Alaska,1193,9.7,123031,calculated from mortality rate and population estimate,117419,-5611.900000000009,,,,,,24.5,3014
1950,Alaska,1235,9.6,128643,calculated from mortality rate and population estimate,123031,-5611.899999999994,,,,,,23.71,3050
1951,Alaska,1342,9.7,138395,calculated from mortality rate and population estimate,128643,-9752.399999999994,,,,,,23.928,3312
1952,Alaska,1422,9.6,148148,calculated from mortality rate and population estimate,138395,-9752.399999999994,,,,,,24.313,3602
1953,Alaska,1516,9.6,157900,calculated from mortality rate and population estimate,148148,-9752.400000000023,,,,,,24.599,3884
1954,Alaska,1542,9.2,167653,calculated from mortality rate and population estimate,157900,-9752.399999999994,,,,,,24.784,4155
1955,Alaska,1650,9.3,177405,calculated from mortality rate and population estimate,167653,-9752.399999999994,,,,,,24.869,4412
1956,Alaska,1759,9.4,187157,calculated from mortality rate and population estimate,177405,-9752.399999999994,,,,,,24.852,4651
1957,Alaska,1890,9.6,196910,calculated from mortality rate and population estimate,187157,-9752.399999999994,,,,,,24.731,4870
1958,Alaska,1963,9.5,206662,calculated from mortality rate and population estimate,196910,-9752.400000000023,,,,,,24.505,5064
1959,Alaska,2034,9.4,216415,calculated from mortality rate and population estimate,206662,-9752.399999999965,,,,,,24.169,5231
1960,Alaska,2149,9.5,226167,calculated from mortality rate and population estimate,216415,-9752.400000000023,,,,,,23.72,5365
1961,Alaska,2172,9.3,233588,calculated from mortality rate and population estimate,226167,-7421.5,,,,,,23.159,5410
1962,Alaska,2290,9.5,241010,calculated from mortality rate and population estimate,233588,-7421.5,,,,,,22.491,5421
1963,Alaska,2385,9.6,248432,calculated from mortality rate and population estimate,241010,-7421.5,,,,,,21.735,5400
1964,Alaska,2405,9.4,255853,calculated from mortality rate and population estimate,248432,-7421.5,,,,,,20.918,5352
1965,Alaska,2475,9.4,263274,calculated from mortality rate and population estimate,255853,-7421.5,,,,,,20.075,5285
1966,Alaska,2572,9.5,270696,calculated from mortality rate and population estimate,263274,-7421.5,,,,,,19.24,5208
1967,Alaska,2614,9.4,278118,calculated from mortality rate and population estimate,270696,-7421.5,,,,,,18.443,5129
1968,Alaska,1349,4.676,288511,NCHS,278118,-10393.5,,,,,,17.711,5110
1969,Alaska,1303,4.398,296304,NCHS,288511,-7793.0,,,,,,17.066,5057
1970,Alaska,1438,4.735,303679,NCHS,296304,-7375.0,,,,,,16.519,5016
1971,Alaska,1474,4.65,317012,NCHS,303679,-13333.0,,,,,,16.071,5095
1972,Alaska,1440,4.409,326586,NCHS,317012,-9574.0,,,,,,15.702,5128
1973,Alaska,1459,4.382,332940,NCHS,326586,-6354.0,,,,,,15.398,5127
1974,Alaska,1489,4.3180000000000005,344834,NCHS,332940,-11894.0,,,,,,15.155,5226
1975,Alaska,1529,4.12,371084,NCHS,344834,-26250.0,,,,,,14.976,5557
1976,Alaska,1623,4.125,393479,NCHS,371084,-22395.0,,,,,,14.867,5850
1977,Alaska,1615,4.056,398155,NCHS,393479,-4676.0,,,,,,14.825,5903
1978,Alaska,1690,4.19,403301,NCHS,398155,-5146.0,,,,,,14.845,5987
1979,Alaska,1567,3.872,404735,NCHS,403301,-1434.0,,,,,,14.915,6037
1980,Alaska,1714,4.247,403594,NCHS,404735,1141.0,,,,,,15.021,6062
1981,Alaska,1723,4.101,420161,NCHS,403594,-16567.0,,,,,,15.15,6365
1982,Alaska,1785,3.952,451672,NCHS,420161,-31511.0,,,,,,15.288,6905
1983,Alaska,1897,3.8710000000000004,490111,NCHS,451672,-38439.0,,,,,,15.421,7558
1984,Alaska,1929,3.7460000000000004,515014,NCHS,490111,-24903.0,,,,,,15.537,8002
1985,Alaska,2068,3.877,533411,NCHS,515014,-18397.0,,,,,,15.63,8337
1986,Alaska,2090,3.841,544113,NCHS,533411,-10702.0,,,,,,15.698,8541
1987,Alaska,2055,3.8139999999999996,538774,NCHS,544113,5339.0,,,,,,15.746,8484
1988,Alaska,2064,3.812,541504,NCHS,538774,-2730.0,,,,,,15.776,8543
1989,Alaska,2095,3.827,547442,NCHS,541504,-5938.0,,,,,,15.783,8640
1990,Alaska,2188,3.978,549982,NCHS,547442,-2540.0,,,,,,15.756,8666
1991,Alaska,2200,3.8569999999999998,570440,NCHS,549982,-20458.0,,,,,,15.684,8947
1992,Alaska,2303,3.907,589389,NCHS,570440,-18949.0,,,,,,15.562,9172
1993,Alaska,2383,3.972,599884,NCHS,589389,-10495.0,,,,,,15.396,9236
1994,Alaska,2445,4.0489999999999995,603918,NCHS,599884,-4034.0,,,,,,15.195,9177
1995,Alaska,2553,4.218999999999999,605068,NCHS,603918,-1150.0,,,,,,14.974,9060
1996,Alaska,2582,4.238,609231,NCHS,605068,-4163.0,,,,,,14.755,8989
1997,Alaska,2575,4.197,613530,NCHS,609231,-4299.0,,,,,,14.556,8931
1998,Alaska,2571,4.143,620503,NCHS,613530,-6973.0,,,,,,14.391,8930
1999,Alaska,2708,4.334,624779,NCHS,620503,-4276.0,,,,,,14.266,8913
2000,Alaska,2914,4.648,626932,NCHS,624779,-2153.0,,,,,,14.185,8893
2001,Alaska,2974,4.6930000000000005,633714,NCHS,626932,-6782.0,,,,,,14.145,8964
2002,Alaska,3030,4.717,642337,NCHS,633714,-8623.0,,,,,,14.13,9076
2003,Alaska,3180,4.904,648414,NCHS,642337,-6077.0,,,,,,14.123,9158
2004,Alaska,3051,4.628,659286,NCHS,648414,-10872.0,,,,,,14.11,9303
2005,Alaska,3168,4.75,666946,NCHS,659286,-7660.0,,169239.0,,169239.0,53714.0,14.074,9387
2006,Alaska,3354,4.967,675302,NCHS,666946,-8356.0,,203161.0,,203161.0,63403.0,13.993,9450
2007,Alaska,3463,5.09,680300,NCHS,675302,-4998.0,,198108.0,,198108.0,63013.0,13.862,9430
2008,Alaska,3494,5.083,687455,NCHS,680300,-7155.0,,235788.0,,235788.0,85376.0,13.684,9407
2009,Alaska,3618,5.1770000000000005,698895,NCHS,687455,-11440.0,,219093.0,,219093.0,71568.0,13.466,9411
2010,Alaska,3728,5.249,710231,NCHS,698895,-11336.0,660909.0,36326.0,5739.0,42065.0,94692.0,13.228,9395
2011,Alaska,3849,5.3260000000000005,722718,NCHS,710231,-12487.0,672137.0,35084.0,4741.0,39825.0,88850.0,12.996,9392
2012,Alaska,3912,5.348,731449,NCHS,722718,-8731.0,683164.0,33415.0,4607.0,38022.0,84068.0,12.795,9359
2013,Alaska,3997,5.437,735132,NCHS,731449,-3683.0,683752.0,34360.0,7081.0,41441.0,99931.0,12.642,9294
2014,Alaska,4128,5.603,736732,NCHS,735132,-1600.0,683274.0,37842.0,4090.0,41932.0,92637.0,12.544,9242
2015,Alaska,4316,5.845,738432,NCHS,736732,-1700.0,688678.0,34696.0,4488.0,39184.0,40552.0,12.499,9230
2016,Alaska,4494,6.057,741894,NCHS,738432,-3462.0,693901.0,31300.0,6559.0,37859.0,42074.0,15.11,11210
2017,Alaska,4411,5.962000000000001,739795,NCHS,741894,2099.0,693972.0,30199.0,6703.0,36902.0,42972.0,14.12,10446
2018,Alaska,4453,6.037999999999999,737438,NCHS,739795,2357.0,689936.0,32099.0,5129.0,37228.0,39246.0,13.68,10088
2019,Alaska,4613,6.306,731545,NCHS,737438,5893.0,683737.0,34031.0,4295.0,38326.0,50134.0,13.43,9825
2020,Alaska,5170,7.071000000000001,731158,NCHS,,,,,,,,12.95,9468
2021,Alaska,5147,6.998400000000231,735456,,,,,,,,,12.354999999999677,9086
2022,Alaska,5349,7.235600000000261,739396,,,,,,,,,11.8539999999997,8764
2023,Alaska,5550,7.472800000000234,742811,,,,,,,,,11.352999999999724,8433
2024,Alaska,5749,7.710000000000207,745693,,,,,,,,,10.851999999999748,8092
2025,Alaska,5944,7.947200000000237,748036,,,,,,,,,10.350999999999772,7742
1914,Arizona,3408,13.3,256277,calculated from mortality rate and population estimate,731158,474880.8,,,,,,29.9,7663
1915,Arizona,3554,13.2,269258,calculated from mortality rate and population estimate,256277,-12980.799999999988,,,,,,29.5,7943
1916,Arizona,3895,13.8,282239,calculated from mortality rate and population estimate,269258,-12980.799999999988,,,,,,29.1,8213
1917,Arizona,4133,14.0,295220,calculated from mortality rate and population estimate,282239,-12980.799999999988,,,,,,28.5,8414
1918,Arizona,5578,18.1,308200,calculated from mortality rate and population estimate,295220,-12980.800000000047,,,,,,28.2,8691
1919,Arizona,4143,12.9,321181,calculated from mortality rate and population estimate,308200,-12980.799999999988,,,,,,26.1,8383
1920,Arizona,4344,13.0,334162,calculated from mortality rate and population estimate,321181,-12980.799999999988,,,,,,27.7,9256
1921,Arizona,3959,11.5,344303,calculated from mortality rate and population estimate,334162,-10141.099999999977,,,,,,28.1,9675
1922,Arizona,4147,11.7,354444,calculated from mortality rate and population estimate,344303,-10141.100000000035,,,,,,26.2,9286
1923,Arizona,4411,12.1,364585,calculated from mortality rate and population estimate,354444,-10141.099999999977,,,,,,26.0,9479
1924,Arizona,4347,11.6,374726,calculated from mortality rate and population estimate,364585,-10141.100000000035,,,,,,26.1,9780
1925,Arizona,4503,11.7,384868,calculated from mortality rate and population estimate,374726,-10141.099999999977,,,,,,25.1,9660
1926,Arizona,5451,13.8,395009,calculated from mortality rate and population estimate,384868,-10141.099999999977,,,,,,24.2,9559
1927,Arizona,5753,14.2,405150,calculated from mortality rate and population estimate,395009,-10141.100000000035,,,,,,23.5,9521
1928,Arizona,6354,15.3,415291,calculated from mortality rate and population estimate,405150,-10141.099999999977,,,,,,22.2,9219
1929,Arizona,6722,15.8,425432,calculated from mortality rate and population estimate,415291,-10141.100000000035,,,,,,21.2,9019
1930,Arizona,6664,15.3,435573,calculated from mortality rate and population estimate,425432,-10141.099999999977,,,,,,21.3,9278
1931,Arizona,6055,13.7,441942,calculated from mortality rate and population estimate,435573,-6368.799999999988,,,,,,20.2,8927
1932,Arizona,5380,12.0,448311,calculated from mortality rate and population estimate,441942,-6368.799999999988,,,,,,19.5,8742
1933,Arizona,5547,12.2,454679,calculated from mortality rate and population estimate,448311,-6368.800000000047,,,,,,18.4,8366
1934,Arizona,5625,12.2,461048,calculated from mortality rate and population estimate,454679,-6368.799999999988,,,,,,19.0,8760
1935,Arizona,6076,13.0,467417,calculated from mortality rate and population estimate,461048,-6368.799999999988,,,,,,18.7,8741
1936,Arizona,6538,13.8,473786,calculated from mortality rate and population estimate,467417,-6368.799999999988,,,,,,19.0,9002
1937,Arizona,6914,14.4,480155,calculated from mortality rate and population estimate,473786,-6368.799999999988,,,,,,18.7,8979
1938,Arizona,6033,12.4,486523,calculated from mortality rate and population estimate,480155,-6368.800000000047,,,,,,19.2,9341
1939,Arizona,5865,11.9,492892,calculated from mortality rate and population estimate,486523,-6368.799999999988,,,,,,18.8,9266
1940,Arizona,5791,11.6,499261,calculated from mortality rate and population estimate,492892,-6368.799999999988,,,,,,19.4,9686
1941,Arizona,5505,10.5,524294,calculated from mortality rate and population estimate,499261,-25032.599999999977,,,,,,20.3,10643
1942,Arizona,5658,10.3,549326,calculated from mortality rate and population estimate,524294,-25032.599999999977,,,,,,22.2,12195
1943,Arizona,6261,10.9,574359,calculated from mortality rate and population estimate,549326,-25032.600000000093,,,,,,22.7,13038
1944,Arizona,6354,10.6,599391,calculated from mortality rate and population estimate,574359,-25032.599999999977,,,,,,21.2,12707
1945,Arizona,6619,10.6,624424,calculated from mortality rate and population estimate,599391,-25032.599999999977,,,,,,20.4,12738
