State,Values
Illinois,345
Illinois,346
Illinois,347
Illinois,348
Illinois,349
Illinois,350
Illinois,351
Illinois,352
Illinois,353
Illinois,354
Illinois,355
Illinois,356
Illinois,357
Illinois,358
Illinois,359
Illinois,360
Illinois,361
Michigan,362
Michigan,363
Michigan,364
Michigan,365
Michigan,366
Michigan,367
Michigan,368
Michigan,369
Michigan,370
Michigan,371
Michigan,372
Michigan,373
Michigan,374
Michigan,375
Michigan,376
Michigan,377
Michigan,378
Michigan,379
Michigan,380
Michigan,381
Michigan,382
Michigan,383
Michigan,384
Michigan,385
Michigan,386
Wisconsin,387
Wisconsin,388
Wisconsin,389
Wisconsin,390
Wisconsin,391
Wisconsin,392
Wisconsin,393
Wisconsin,394
Wisconsin,395
Wisconsin,396
Wisconsin,397
Wisconsin,398
Wisconsin,399
Kentucky,400
Kentucky,401
Kentucky,402
Kentucky,403
Kentucky,404
Kentucky,405
Kentucky,406
Kentucky,407
Tennessee,756
Tennessee,757
Tennessee,758
Tennessee,759
Tennessee,760
Tennessee,761
Tennessee,762
Tennessee,763
Tennessee,408
Tennessee,409
Tennessee,410
Tennessee,411
Tennessee,412
Tennessee,413
Tennessee,414
Tennessee,415
Alabama,416
Alabama,417
Alabama,418
Alabama,419
Alabama,420
Alabama,421
Alabama,422
Alabama,423
Alabama,424
Mississippi,587
Mississippi,588
Mississippi,425
Mississippi,426
Mississippi,427
Mississippi,428
Arkansas,676
Arkansas,677
Arkansas,678
Arkansas,679
Arkansas,429
Arkansas,430
Arkansas,431
Arkansas,432
Arkansas,752
Arkansas,753
Arkansas,754
Arkansas,755
Louisiana,659
Louisiana,660
Louisiana,661
Louisiana,662
Louisiana,663
Louisiana,664
Louisiana,665
Louisiana,433
Louisiana,434
Louisiana,435
Louisiana,436
Louisiana,437
Louisiana,438
Louisiana,439
Oklahoma,440
Oklahoma,441
Oklahoma,442
Oklahoma,443
Oklahoma,444
Oklahoma,445
Oklahoma,446
Oklahoma,447
Oklahoma,448
Texas,627
Texas,628
Texas,629
Texas,630
Texas,631
Texas,632
Texas,633
Texas,634
Texas,635
Texas,636
Texas,637
Texas,638
Texas,639
Texas,640
Texas,641
Texas,642
Texas,643
Texas,644
Texas,645
Texas,449
Texas,450
Texas,451
Texas,452
Texas,453
Texas,454
Texas,455
Texas,456
Texas,457
Texas,458
Texas,459
Texas,460
Texas,461
Texas,462
Texas,463
Texas,464
Texas,465
Texas,466
Texas,467
Minnesota,468
Minnesota,469
Minnesota,470
Minnesota,471
Minnesota,472
Minnesota,473
Minnesota,474
Minnesota,475
Minnesota,476
Minnesota,477
Iowa,478
Iowa,479
Iowa,480
Iowa,481
Iowa,482
Iowa,483
Iowa,484
Iowa,485
Missouri,486
Missouri,487
Missouri,488
Missouri,489
Missouri,490
Missouri,491
Missouri,492
Missouri,493
Missouri,494
Missouri,495
Missouri,496
Missouri,497
Missouri,498
Missouri,499
Missouri,500
North Dakota,501
North Dakota,502
South Dakota,503
South Dakota,504
Nebraska,505
Nebraska,506
Nebraska,507
Nebraska,508
Kansas,509
Kansas,510
Kansas,511
Kansas,512
Kansas,513
Kansas,514
Kansas,515
Montana,516
Montana,517
Idaho,518
Idaho,519
Wyoming,520
Colorado,650
Colorado,651
Colorado,652
Colorado,653
Colorado,521
Colorado,522
Colorado,523
Colorado,524
New Mexico,648
New Mexico,649
New Mexico,525
New Mexico,585
Arizona,600
Arizona,601
Arizona,526
Arizona,527
Utah,646
Utah,647
Utah,528
Utah,529
Utah,764
Utah,765
Nevada,680
Nevada,530
Washington,531
Washington,532
Washington,533
Washington,534
Washington,535
Washington,536
Washington,537
Washington,538
Washington,539
Oregon,540
Oregon,541
Oregon,542
Oregon,543
Oregon,544
California,602
California,603
California,604
California,605
California,606
California,607
California,608
California,609
California,610
California,611
California,612
California,613
California,614
California,615
California,616
California,617
California,618
California,619
California,620
California,621
California,622
California,623
California,624
California,625
California,626
California,545
California,546
California,547
California,548
California,549
California,550
California,551
California,552
California,553
California,554
California,555
California,556
California,557
California,558
California,559
California,560
California,561
California,562
California,563
California,564
California,565
California,566
California,567
California,568
California,569
California,570
California,571
California,572
California,573
Alaska,574
Hawaii,750
Hawaii,751
Hawaii,575
Hawaii,576
District of Columbia,577
District of Columbia,578
District of Columbia,579
Virgin Islands,580
Puerto Rico,596
Puerto Rico,597
Puerto Rico,598
Puerto Rico,599
Puerto Rico,580
Puerto Rico,581
Puerto Rico,582
Puerto Rico,583
Puerto Rico,584
Guam,586
American Samoa,586
Philippine Islands,586
Railroad Board,700
Railroad Board,701
Railroad Board,702
Railroad Board,703
Railroad Board,704
Railroad Board,705
Railroad Board,706
Railroad Board,707
Railroad Board,708
Railroad Board,709
Railroad Board,710
Railroad Board,711
Railroad Board,712
Railroad Board,713
Railroad Board,714
Railroad Board,715
Railroad Board,716
Railroad Board,717
Railroad Board,718
Railroad Board,719
Railroad Board,720
Railroad Board,721
Railroad Board,722
Railroad Board,723
Railroad Board,724
Railroad Board,725
Railroad Board,726
Railroad Board,727
Railroad Board,728
Enumeration at Entry,729
Enumeration at Entry,730
Enumeration at Entry,731
Enumeration at Entry,732
Enumeration at Entry,733
