"Notes"	"Year"	"Year Code"	"State"	"State Code"	Births	Total Population	Birth Rate	Female Population	Fertility Rate	Average Birth Weight	Average Age of Mother	Average LMP Gestational Age	Average OE Gestational Age
	"2008"	"2008"	"Washington"	"53"	90321	6562231	13.76	1342888	67.26	3362.93	27.86	38.84	38.67
	"2008"	"2008"	"West Virginia"	"54"	21501	1840310	11.68	345247	62.28	3217.08	26.02	38.44	38.20
	"2008"	"2008"	"Wisconsin"	"55"	72261	5640996	12.81	1111400	65.02	3330.97	27.61	38.77	38.77
	"2008"	"2008"	"Wyoming"	"56"	8038	546043	14.72	104431	76.97	3194.57	26.19	38.61	38.42
"Total"	"2008"	"2008"			4247694	304093966	13.97	62359858	68.12	3262.17	27.41	38.57	38.43
	"2009"	"2009"	"Alabama"	"01"	62475	4757938	13.13	962060	64.94	3175.46	26.03	38.30	38.13
	"2009"	"2009"	"Alaska"	"02"	11324	698895	16.20	142508	79.46	3400.88	26.99	38.76	38.69
	"2009"	"2009"	"Arizona"	"04"	92798	6343154	14.63	1262564	73.50	3277.17	26.96	38.50	38.44
	"2009"	"2009"	"Arkansas"	"05"	39808	2896843	13.74	568923	69.97	3217.27	25.55	38.45	38.25
	"2009"	"2009"	"California"	"06"	527020	36961229	14.26	7851872	67.12	3297.31	28.23	38.70	38.59
	"2009"	"2009"	"Colorado"	"08"	68628	4972195	13.80	1020625	67.24	3196.51	27.97	38.69	38.61
	"2009"	"2009"	"Connecticut"	"09"	38896	3561807	10.92	694930	55.97	3289.78	29.29	38.67	38.57
	"2009"	"2009"	"Delaware"	"10"	11559	891730	12.96	179610	64.36	3252.41	27.49	38.59	38.50
	"2009"	"2009"	"District of Columbia"	"11"	9040	592228	15.26	157384	57.44	3200.91	28.32	38.54	38.48
	"2009"	"2009"	"Florida"	"12"	221394	18652644	11.87	3561023	62.17	3228.90	27.44	38.47	38.32
	"2009"	"2009"	"Georgia"	"13"	141377	9620846	14.69	2074589	68.15	3207.54	26.99	38.27	38.29
	"2009"	"2009"	"Hawaii"	"15"	18887	1346717	14.02	261245	72.30	3232.91	28.08	38.72	38.43
	"2009"	"2009"	"Idaho"	"16"	23737	1554439	15.27	305968	77.58	3310.04	26.87	38.75	38.56
	"2009"	"2009"	"Illinois"	"17"	171163	12796778	13.38	2641171	64.81	3269.15	28.00	38.57	38.48
	"2009"	"2009"	"Indiana"	"18"	86673	6459325	13.42	1290807	67.15	3268.36	26.66	38.56	38.45
	"2009"	"2009"	"Iowa"	"19"	39701	3032870	13.09	577301	68.77	3350.84	27.21	38.72	38.60
	"2009"	"2009"	"Kansas"	"20"	41396	2832704	14.61	553570	74.78	3294.07	26.82	38.59	38.54
	"2009"	"2009"	"Kentucky"	"21"	57551	4317074	13.33	856504	67.19	3241.94	26.21	38.46	38.22
	"2009"	"2009"	"Louisiana"	"22"	64973	4491648	14.47	924981	70.24	3151.16	25.94	38.18	38.09
	"2009"	"2009"	"Maine"	"23"	13470	1329590	10.13	245110	54.95	3373.90	27.61	39.02	38.83
	"2009"	"2009"	"Maryland"	"24"	75059	5730388	13.10	1192380	62.95	3241.20	28.44	38.53	38.48
	"2009"	"2009"	"Massachusetts"	"25"	75016	6517613	11.51	1353825	55.41	3311.66	29.61	38.71	38.77
	"2009"	"2009"	"Michigan"	"26"	117294	9901591	11.85	1938741	60.50	3281.98	27.36	38.64	38.52
	"2009"	"2009"	"Minnesota"	"27"	70646	5281203	13.38	1050519	67.25	3357.21	28.32	38.77	38.72
	"2009"	"2009"	"Mississippi"	"28"	42901	2958774	14.50	605971	70.80	3116.20	25.31	38.03	38.00
	"2009"	"2009"	"Missouri"	"29"	78905	5961088	13.24	1179940	66.87	3275.28	26.70	38.58	38.48
	"2009"	"2009"	"Montana"	"30"	12257	983982	12.46	179917	68.13	3300.33	26.89	38.72	38.60
	"2009"	"2009"	"Nebraska"	"31"	26936	1812683	14.86	354073	76.07	3315.16	27.40	38.60	38.52
	"2009"	"2009"	"Nevada"	"32"	37612	2684665	14.01	549912	68.40	3233.07	27.37	38.43	38.36
	"2009"	"2009"	"New Hampshire"	"33"	13377	1316102	10.16	253121	52.85	3359.56	28.64	38.93	38.78
	"2009"	"2009"	"New Jersey"	"34"	110331	8755602	12.60	1743799	63.27	3260.21	29.42	38.66	38.48
	"2009"	"2009"	"New Mexico"	"35"	29000	2036802	14.24	397211	73.01	3197.08	25.93	38.65	38.57
	"2009"	"2009"	"New York"	"36"	248110	19307066	12.85	4053936	61.20	3261.22	28.88	38.65	38.60
	"2009"	"2009"	"North Carolina"	"37"	126845	9449566	13.42	1947046	65.15	3253.03	27.04	38.61	38.48
	"2009"	"2009"	"North Dakota"	"38"	9001	664968	13.54	128429	70.09	3345.42	27.26	38.63	38.52
	"2009"	"2009"	"Ohio"	"39"	144841	11528896	12.56	2251790	64.32	3259.22	26.99	38.56	38.42
	"2009"	"2009"	"Oklahoma"	"40"	54553	3717572	14.67	732789	74.45	3244.78	25.82	38.42	38.29
	"2009"	"2009"	"Oregon"	"41"	47132	3808600	12.38	752900	62.60	3363.00	27.79	38.89	38.80
	"2009"	"2009"	"Pennsylvania"	"42"	146434	12666858	11.56	2451611	59.73	3277.78	27.88	38.67	38.54
	"2009"	"2009"	"Rhode Island"	"44"	11442	1053646	10.86	216670	52.81	3296.44	28.20	38.74	38.53
	"2009"	"2009"	"South Carolina"	"45"	60620	4589872	13.21	928485	65.29	3199.12	26.46	38.36	38.25
	"2009"	"2009"	"South Dakota"	"46"	11934	807067	14.79	151855	78.59	3336.37	26.93	38.61	38.70
	"2009"	"2009"	"Tennessee"	"47"	82211	6306019	13.04	1274950	64.48	3222.68	26.36	38.42	38.27
	"2009"	"2009"	"Texas"	"48"	401977	24801761	16.21	5280109	76.13	3223.56	26.68	38.39	38.27
	"2009"	"2009"	"Utah"	"49"	53887	2723421	19.79	596032	90.41	3267.77	27.40	38.55	38.40
	"2009"	"2009"	"Vermont"	"50"	6110	624817	9.78	119265	51.23	3375.00	28.28	39.10	38.86
	"2009"	"2009"	"Virginia"	"51"	105059	7925937	13.26	1648890	63.71	3266.87	28.11	38.67	38.47
	"2009"	"2009"	"Washington"	"53"	89313	6667426	13.40	1352302	66.05	3360.06	28.02	38.86	38.72
	"2009"	"2009"	"West Virginia"	"54"	21268	1847775	11.51	343471	61.92	3228.51	25.96	38.52	38.36
	"2009"	"2009"	"Wisconsin"	"55"	70843	5669264	12.50	1103934	64.17	3329.05	27.70	38.76	38.80
	"2009"	"2009"	"Wyoming"	"56"	7881	559851	14.08	106406	74.07	3200.11	26.42	38.57	38.42
"Total"	"2009"	"2009"			4130665	306771529	13.46	62373024	66.23	3261.88	27.51	38.57	38.46
	"2010"	"2010"	"Alabama"	"01"	60050	4779736	12.56	960620	62.51	3176.94	26.25	38.24	38.15
	"2010"	"2010"	"Alaska"	"02"	11471	710231	16.15	143229	80.09	3413.86	27.05	38.88	38.77
	"2010"	"2010"	"Arizona"	"04"	87477	6392017	13.69	1262557	69.29	3277.64	27.15	38.53	38.46
	"2010"	"2010"	"Arkansas"	"05"	38540	2915918	13.22	569446	67.68	3222.66	25.78	38.51	38.31
	"2010"	"2010"	"California"	"06"	510198	37253956	13.70	7876871	64.77	3298.27	28.39	38.72	38.61
	"2010"	"2010"	"Colorado"	"08"	66355	5029196	13.19	1025085	64.73	3194.39	28.15	38.71	38.61
	"2010"	"2010"	"Connecticut"	"09"	37708	3574097	10.55	691265	54.55	3280.03	29.41	38.68	38.56
	"2010"	"2010"	"Delaware"	"10"	11364	897934	12.66	179232	63.40	3255.78	27.67	38.62	38.51
	"2010"	"2010"	"District of Columbia"	"11"	9165	601723	15.23	162314	56.46	3201.14	28.56	38.59	38.53
	"2010"	"2010"	"Florida"	"12"	214590	18801310	11.41	3560982	60.26	3229.88	27.66	38.49	38.33
	"2010"	"2010"	"Georgia"	"13"	133947	9687653	13.83	2073006	64.61	3203.51	27.20	38.28	38.28
	"2010"	"2010"	"Hawaii"	"15"	18988	1360301	13.96	262107	72.44	3233.11	28.24	38.79	38.48
	"2010"	"2010"	"Idaho"	"16"	23198	1567582	14.80	306303	75.74	3301.62	27.03	38.77	38.60
	"2010"	"2010"	"Illinois"	"17"	165200	12830632	12.88	2631753	62.77	3267.07	28.14	38.59	38.40
	"2010"	"2010"	"Indiana"	"18"	83940	6483802	12.95	1287393	65.20	3272.95	26.86	38.58	38.46
	"2010"	"2010"	"Iowa"	"19"	38719	3046355	12.71	576692	67.14	3338.02	27.38	38.68	38.56
	"2010"	"2010"	"Kansas"	"20"	40649	2853118	14.25	554584	73.30	3296.40	27.00	38.63	38.57
	"2010"	"2010"	"Kentucky"	"21"	55784	4339367	12.86	854846	65.26	3240.98	26.34	38.47	38.24
	"2010"	"2010"	"Louisiana"	"22"	62379	4533372	13.76	928335	67.19	3148.59	26.08	38.17	38.10
	"2010"	"2010"	"Maine"	"23"	12970	1328361	9.76	241923	53.61	3369.20	27.72	39.02	38.84
	"2010"	"2010"	"Maryland"	"24"	73801	5773552	12.78	1193402	61.84	3248.54	28.65	38.52	38.47
	"2010"	"2010"	"Massachusetts"	"25"	72865	6547629	11.13	1350576	53.95	3307.13	29.76	38.73	38.76
	"2010"	"2010"	"Michigan"	"26"	114531	9883640	11.59	1918594	59.70	3279.42	27.44	38.68	38.52
	"2010"	"2010"	"Minnesota"	"27"	68610	5303925	12.94	1045681	65.61	3360.97	28.48	38.79	38.72
	"2010"	"2010"	"Mississippi"	"28"	40036	2967297	13.49	604036	66.28	3111.14	25.49	38.05	37.99
	"2010"	"2010"	"Missouri"	"29"	76759	5988927	12.82	1176684	65.23	3270.81	26.91	38.61	38.43
	"2010"	"2010"	"Montana"	"30"	12060	989415	12.19	179670	67.12	3276.87	27.15	38.71	38.53
	"2010"	"2010"	"Nebraska"	"31"	25918	1826341	14.19	355031	73.00	3309.26	27.49	38.61	38.48
	"2010"	"2010"	"Nevada"	"32"	35934	2700551	13.31	549924	65.34	3230.45	27.54	38.46	38.37
	"2010"	"2010"	"New Hampshire"	"33"	12874	1316470	9.78	250133	51.47	3358.16	28.70	38.92	38.81
	"2010"	"2010"	"New Jersey"	"34"	106922	8791894	12.16	1738419	61.51	3258.99	29.53	38.67	38.53
	"2010"	"2010"	"New Mexico"	"35"	27850	2059179	13.52	398587	69.87	3192.66	26.25	38.68	38.57
	"2010"	"2010"	"New York"	"36"	244375	19378102	12.61	4047947	60.37	3260.75	29.00	38.69	38.61
	"2010"	"2010"	"North Carolina"	"37"	122350	9535483	12.83	1949350	62.76	3253.19	27.21	38.64	38.50
	"2010"	"2010"	"North Dakota"	"38"	9104	672591	13.54	129143	70.50	3337.74	27.27	38.67	38.51
	"2010"	"2010"	"Ohio"	"39"	139128	11536504	12.06	2235171	62.24	3257.94	27.15	38.57	38.43
	"2010"	"2010"	"Oklahoma"	"40"	53238	3751351	14.19	736629	72.27	3245.19	26.07	38.43	38.24
	"2010"	"2010"	"Oregon"	"41"	45540	3831074	11.89	754077	60.39	3355.75	28.01	38.88	38.81
	"2010"	"2010"	"Pennsylvania"	"42"	143321	12702379	11.28	2442538	58.68	3275.49	27.95	38.68	38.56
	"2010"	"2010"	"Rhode Island"	"44"	11177	1052567	10.62	214647	52.07	3299.56	28.38	38.82	38.57
	"2010"	"2010"	"South Carolina"	"45"	58342	4625364	12.61	928310	62.85	3199.69	26.61	38.35	38.25
	"2010"	"2010"	"South Dakota"	"46"	11811	814180	14.51	152353	77.52	3319.06	27.10	38.56	38.65
	"2010"	"2010"	"Tennessee"	"47"	79495	6346105	12.53	1274350	62.38	3229.36	26.55	38.44	38.29
	"2010"	"2010"	"Texas"	"48"	386118	25145561	15.36	5326162	72.49	3226.85	26.86	38.39	38.27
	"2010"	"2010"	"Utah"	"49"	52258	2763885	18.91	602120	86.79	3260.35	27.60	38.55	38.38
	"2010"	"2010"	"Vermont"	"50"	6223	625741	9.95	118297	52.60	3382.96	28.43	39.16	38.95
	"2010"	"2010"	"Virginia"	"51"	103002	8001024	12.87	1652698	62.32	3272.20	28.28	38.69	38.47
	"2010"	"2010"	"Washington"	"53"	86539	6724540	12.87	1355704	63.83	3360.81	28.28	38.85	38.72
	"2010"	"2010"	"West Virginia"	"54"	20470	1852994	11.05	341981	59.86	3236.55	26.13	38.61	38.39
	"2010"	"2010"	"Wisconsin"	"55"	68487	5686986	12.04	1097595	62.40	3325.05	27.87	38.73	38.79
	"2010"	"2010"	"Wyoming"	"56"	7556	563626	13.41	106612	70.87	3185.47	26.58	38.60	38.42
"Total"	"2010"	"2010"			3999386	308745538	12.95	62374964	64.12	3261.82	27.68	38.59	38.47
	"2011"	"2011"	"Alabama"	"01"	59354	4802740	12.36	960184	61.82	3191.14	26.42	38.31	38.21
	"2011"	"2011"	"Alaska"	"02"	11456	722718	15.85	145873	78.53	3401.01	27.21	38.82	38.69
	"2011"	"2011"	"Arizona"	"04"	85543	6482505	13.20	1271186	67.29	3285.78	27.33	38.68	38.48
	"2011"	"2011"	"Arkansas"	"05"	38715	2937979	13.18	570789	67.83	3222.80	25.96	38.44	38.34
	"2011"	"2011"	"California"	"06"	502120	37691912	13.32	7916936	63.42	3299.16	28.60	38.73	38.63
	"2011"	"2011"	"Colorado"	"08"	65055	5116796	12.71	1038317	62.65	3199.63	28.39	38.72	38.65
	"2011"	"2011"	"Connecticut"	"09"	37281	3580709	10.41	686640	54.29	3288.42	29.42	38.74	38.58
	"2011"	"2011"	"Delaware"	"10"	11257	907135	12.41	178901	62.92	3265.94	27.79	38.79	38.57
	"2011"	"2011"	"District of Columbia"	"11"	9295	617996	15.04	166081	55.97	3203.28	28.84	38.61	38.53
	"2011"	"2011"	"Florida"	"12"	213414	19057542	11.20	3578464	59.64	3233.13	27.85	38.52	38.36
	"2011"	"2011"	"Georgia"	"13"	132409	9815210	13.49	2076093	63.78	3212.93	27.34	38.32	38.31
	"2011"	"2011"	"Hawaii"	"15"	18956	1374810	13.79	263598	71.91	3243.05	28.37	38.77	38.52
	"2011"	"2011"	"Idaho"	"16"	22305	1584985	14.07	308675	72.26	3319.97	27.21	38.77	38.66
	"2011"	"2011"	"Illinois"	"17"	161312	12869257	12.53	2622664	61.51	3273.20	28.34	38.61	38.44
	"2011"	"2011"	"Indiana"	"18"	83701	6516922	12.84	1287382	65.02	3274.67	26.99	38.59	38.48
	"2011"	"2011"	"Iowa"	"19"	38214	3062309	12.48	578260	66.08	3351.40	27.52	38.72	38.60
	"2011"	"2011"	"Kansas"	"20"	39642	2871238	13.81	556582	71.22	3288.98	27.10	38.56	38.54
	"2011"	"2011"	"Kentucky"	"21"	55370	4369356	12.67	855511	64.72	3247.27	26.51	38.48	38.27
	"2011"	"2011"	"Louisiana"	"22"	61888	4574836	13.53	932079	66.40	3153.11	26.28	38.21	38.09
	"2011"	"2011"	"Maine"	"23"	12704	1328188	9.56	239185	53.11	3368.89	27.81	39.04	38.84
	"2011"	"2011"	"Maryland"	"24"	73093	5828289	12.54	1192668	61.29	3250.65	28.80	38.58	38.48
	"2011"	"2011"	"Massachusetts"	"25"	73166	6587536	11.11	1347056	54.32	3312.13	29.85	38.80	38.74
	"2011"	"2011"	"Michigan"	"26"	114008	9876187	11.54	1904783	59.85	3281.91	27.56	38.69	38.54
	"2011"	"2011"	"Minnesota"	"27"	68409	5344861	12.80	1044201	65.51	3361.25	28.71	38.86	38.74
	"2011"	"2011"	"Mississippi"	"28"	39860	2978512	13.38	603540	66.04	3115.94	25.66	38.10	37.99
	"2011"	"2011"	"Missouri"	"29"	76117	6010688	12.66	1174879	64.79	3280.25	27.07	38.65	38.47
	"2011"	"2011"	"Montana"	"30"	12069	998199	12.09	180934	66.70	3293.51	27.28	38.74	38.63
	"2011"	"2011"	"Nebraska"	"31"	25720	1842641	13.96	357237	72.00	3320.35	27.75	38.66	38.54
	"2011"	"2011"	"Nevada"	"32"	35296	2723322	12.96	549361	64.25	3234.59	27.70	38.51	38.35
	"2011"	"2011"	"New Hampshire"	"33"	12851	1318194	9.75	247411	51.94	3351.73	28.80	38.92	38.80
	"2011"	"2011"	"New Jersey"	"34"	105883	8821155	12.00	1726489	61.33	3255.14	29.61	38.66	38.52
