"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"1969"	"1969"	"Georgia"	"13"	41258	4526528	911.5	902.7	920.3
	"1969"	"1969"	"Hawaii"	"15"	4076	759637	536.6	520.1	553.0
	"1969"	"1969"	"Idaho"	"16"	6142	699533	878.0	856.1	900.0
	"1969"	"1969"	"Illinois"	"17"	111417	11069375	1006.5	1000.6	1012.4
	"1969"	"1969"	"Indiana"	"18"	49524	5167826	958.3	949.9	966.8
	"1969"	"1969"	"Iowa"	"19"	29385	2811716	1045.1	1033.1	1057.0
	"1969"	"1969"	"Kansas"	"20"	22854	2253857	1014.0	1000.8	1027.1
	"1969"	"1969"	"Kentucky"	"21"	32899	3180388	1034.4	1023.3	1045.6
	"1969"	"1969"	"Louisiana"	"22"	33862	3614715	936.8	926.8	946.8
	"1969"	"1969"	"Maine"	"23"	10913	981759	1111.6	1090.7	1132.4
	"1969"	"1969"	"Maryland"	"24"	32382	3869900	836.8	827.7	845.9
	"1969"	"1969"	"Massachusetts"	"25"	57793	5661068	1020.9	1012.6	1029.2
	"1969"	"1969"	"Michigan"	"26"	76808	8837714	869.1	862.9	875.2
	"1969"	"1969"	"Minnesota"	"27"	33843	3780598	895.2	885.6	904.7
	"1969"	"1969"	"Mississippi"	"28"	23879	2196956	1086.9	1073.1	1100.7
	"1969"	"1969"	"Missouri"	"29"	52463	4657984	1126.3	1116.7	1135.9
	"1969"	"1969"	"Montana"	"30"	6713	685625	979.1	955.7	1002.5
	"1969"	"1969"	"Nebraska"	"31"	14932	1475728	1011.8	995.6	1028.1
	"1969"	"1969"	"Nevada"	"32"	3691	472069	781.9	756.7	807.1
	"1969"	"1969"	"New Hampshire"	"33"	7521	723626	1039.3	1015.9	1062.8
	"1969"	"1969"	"New Jersey"	"34"	67972	7108685	956.2	949.0	963.4
	"1969"	"1969"	"New Mexico"	"35"	7209	999900	721.0	704.3	737.6
	"1969"	"1969"	"New York"	"36"	188469	18191790	1036.0	1031.3	1040.7
	"1969"	"1969"	"North Carolina"	"37"	44902	5026390	893.3	885.1	901.6
	"1969"	"1969"	"North Dakota"	"38"	5607	613777	913.5	889.6	937.4
	"1969"	"1969"	"Ohio"	"39"	101240	10621131	953.2	947.3	959.1
	"1969"	"1969"	"Oklahoma"	"40"	26032	2531627	1028.3	1015.8	1040.8
	"1969"	"1969"	"Oregon"	"41"	19585	2060075	950.7	937.4	964.0
	"1969"	"1969"	"Pennsylvania"	"42"	127261	11756308	1082.5	1076.5	1088.4
	"1969"	"1969"	"Rhode Island"	"44"	9300	942007	987.3	967.2	1007.3
	"1969"	"1969"	"South Carolina"	"45"	22853	2555782	894.2	882.6	905.8
	"1969"	"1969"	"South Dakota"	"46"	6760	664645	1017.1	992.8	1041.3
	"1969"	"1969"	"Tennessee"	"47"	37900	3884116	975.8	965.9	985.6
	"1969"	"1969"	"Texas"	"48"	94043	11053941	850.8	845.3	856.2
	"1969"	"1969"	"Utah"	"49"	6819	1039193	656.2	640.6	671.8
	"1969"	"1969"	"Vermont"	"50"	4427	439231	1007.9	978.2	1037.6
	"1969"	"1969"	"Virginia"	"51"	39126	4600264	850.5	842.1	858.9
	"1969"	"1969"	"Washington"	"53"	30632	3398000	901.5	891.4	911.6
	"1969"	"1969"	"West Virginia"	"54"	19830	1730922	1145.6	1129.7	1161.6
	"1969"	"1969"	"Wisconsin"	"55"	41106	4392870	935.7	926.7	944.8
	"1969"	"1969"	"Wyoming"	"56"	2941	328711	894.7	862.4	927.0
"Total"	"1969"	"1969"			1921990	201568182	953.5	952.2	954.9
	"1970"	"1970"	"Alabama"	"01"	33743	3450966	977.8	967.4	988.2
	"1970"	"1970"	"Alaska"	"02"	1438	303679	473.5	449.1	498.0
	"1970"	"1970"	"Arizona"	"04"	14865	1781244	834.5	821.1	847.9
	"1970"	"1970"	"Arkansas"	"05"	20664	1927204	1072.2	1057.6	1086.8
	"1970"	"1970"	"California"	"06"	166338	20004933	831.5	827.5	835.5
	"1970"	"1970"	"Colorado"	"08"	17433	2213846	787.5	775.8	799.1
	"1970"	"1970"	"Connecticut"	"09"	25939	3032018	855.5	845.1	865.9
	"1970"	"1970"	"Delaware"	"10"	4916	548909	895.6	870.6	920.6
	"1970"	"1970"	"District of Columbia"	"11"	8851	759939	1164.7	1140.4	1189.0
	"1970"	"1970"	"Florida"	"12"	74903	6806137	1100.5	1092.6	1108.4
	"1970"	"1970"	"Georgia"	"13"	41819	4600450	909.0	900.3	917.7
	"1970"	"1970"	"Hawaii"	"15"	4023	772159	521.0	504.9	537.1
	"1970"	"1970"	"Idaho"	"16"	6155	714717	861.2	839.7	882.7
	"1970"	"1970"	"Illinois"	"17"	110680	11130872	994.4	988.5	1000.2
	"1970"	"1970"	"Indiana"	"18"	48556	5203733	933.1	924.8	941.4
	"1970"	"1970"	"Iowa"	"19"	29387	2827012	1039.5	1027.6	1051.4
	"1970"	"1970"	"Kansas"	"20"	21888	2252229	971.8	959.0	984.7
	"1970"	"1970"	"Kentucky"	"21"	33277	3226664	1031.3	1020.2	1042.4
	"1970"	"1970"	"Louisiana"	"22"	33445	3649292	916.5	906.7	926.3
	"1970"	"1970"	"Maine"	"23"	11053	994539	1111.4	1090.6	1132.1
	"1970"	"1970"	"Maryland"	"24"	32832	3923849	836.7	827.7	845.8
	"1970"	"1970"	"Massachusetts"	"25"	57278	5689726	1006.7	998.4	1014.9
	"1970"	"1970"	"Michigan"	"26"	76334	8892674	858.4	852.3	864.5
	"1970"	"1970"	"Minnesota"	"27"	33888	3808180	889.9	880.4	899.3
	"1970"	"1970"	"Mississippi"	"28"	23301	2224141	1047.6	1034.2	1061.1
	"1970"	"1970"	"Missouri"	"29"	51851	4684287	1106.9	1097.4	1116.4
	"1970"	"1970"	"Montana"	"30"	6602	695623	949.1	926.2	972.0
	"1970"	"1970"	"Nebraska"	"31"	15039	1486970	1011.4	995.2	1027.6
	"1970"	"1970"	"Nevada"	"32"	3856	489535	787.7	762.8	812.5
	"1970"	"1970"	"New Hampshire"	"33"	7356	737792	997.0	974.2	1019.8
	"1970"	"1970"	"New Jersey"	"34"	68183	7173395	950.5	943.4	957.6
	"1970"	"1970"	"New Mexico"	"35"	7434	1019794	729.0	712.4	745.5
	"1970"	"1970"	"New York"	"36"	188026	18261534	1029.6	1025.0	1034.3
	"1970"	"1970"	"North Carolina"	"37"	44737	5095097	878.0	869.9	886.2
	"1970"	"1970"	"North Dakota"	"38"	5613	618433	907.6	883.9	931.4
	"1970"	"1970"	"Ohio"	"39"	100453	10672758	941.2	935.4	947.0
	"1970"	"1970"	"Oklahoma"	"40"	26763	2564902	1043.4	1030.9	1055.9
	"1970"	"1970"	"Oregon"	"41"	19516	2093869	932.1	919.0	945.1
	"1970"	"1970"	"Pennsylvania"	"42"	126996	11807864	1075.5	1069.6	1081.4
	"1970"	"1970"	"Rhode Island"	"44"	9492	950100	999.1	979.0	1019.2
	"1970"	"1970"	"South Carolina"	"45"	22780	2595822	877.6	866.2	889.0
	"1970"	"1970"	"South Dakota"	"46"	6566	667090	984.3	960.5	1008.1
	"1970"	"1970"	"Tennessee"	"47"	38157	3933207	970.1	960.4	979.9
	"1970"	"1970"	"Texas"	"48"	94335	11230228	840.0	834.6	845.4
	"1970"	"1970"	"Utah"	"49"	7061	1063939	663.7	648.2	679.1
	"1970"	"1970"	"Vermont"	"50"	4449	445145	999.4	970.1	1028.8
	"1970"	"1970"	"Virginia"	"51"	39015	4659549	837.3	829.0	845.6
	"1970"	"1970"	"Washington"	"53"	29954	3417820	876.4	866.5	886.3
	"1970"	"1970"	"West Virginia"	"54"	20063	1747554	1148.1	1132.2	1163.9
	"1970"	"1970"	"Wisconsin"	"55"	40791	4419132	923.1	914.1	932.0
	"1970"	"1970"	"Wyoming"	"56"	2937	333243	881.3	849.5	913.2
"Total"	"1970"	"1970"			1921031	203603794	943.5	942.2	944.8
	"1971"	"1971"	"Alabama"	"01"	33777	3503319	964.1	953.9	974.4
	"1971"	"1971"	"Alaska"	"02"	1474	317012	465.0	441.2	488.7
	"1971"	"1971"	"Arizona"	"04"	15669	1900461	824.5	811.6	837.4
	"1971"	"1971"	"Arkansas"	"05"	20844	1975096	1055.3	1041.0	1069.7
	"1971"	"1971"	"California"	"06"	169322	20347014	832.2	828.2	836.1
	"1971"	"1971"	"Colorado"	"08"	17887	2305234	775.9	764.6	787.3
	"1971"	"1971"	"Connecticut"	"09"	26139	3057560	854.9	844.5	865.3
	"1971"	"1971"	"Delaware"	"10"	4824	565378	853.2	829.2	877.3
	"1971"	"1971"	"District of Columbia"	"11"	8559	753476	1135.9	1111.9	1160.0
	"1971"	"1971"	"Florida"	"12"	77093	7175434	1074.4	1066.8	1082.0
	"1971"	"1971"	"Georgia"	"13"	41706	4717791	884.0	875.5	892.5
	"1971"	"1971"	"Hawaii"	"15"	4193	802549	522.5	506.6	538.3
	"1971"	"1971"	"Idaho"	"16"	6330	739758	855.7	834.6	876.8
	"1971"	"1971"	"Illinois"	"17"	109848	11214321	979.5	973.7	985.3
	"1971"	"1971"	"Indiana"	"18"	48880	5254207	930.3	922.1	938.5
	"1971"	"1971"	"Iowa"	"19"	29565	2850320	1037.3	1025.4	1049.1
	"1971"	"1971"	"Kansas"	"20"	22210	2247606	988.2	975.2	1001.2
	"1971"	"1971"	"Kentucky"	"21"	33609	3303591	1017.3	1006.5	1028.2
	"1971"	"1971"	"Louisiana"	"22"	33132	3713808	892.1	882.5	901.7
	"1971"	"1971"	"Maine"	"23"	10747	1016358	1057.4	1037.4	1077.4
	"1971"	"1971"	"Maryland"	"24"	32361	4019719	805.1	796.3	813.8
	"1971"	"1971"	"Massachusetts"	"25"	57027	5733536	994.6	986.5	1002.8
	"1971"	"1971"	"Michigan"	"26"	77291	8974164	861.3	855.2	867.3
	"1971"	"1971"	"Minnesota"	"27"	33897	3848481	880.8	871.4	890.2
	"1971"	"1971"	"Mississippi"	"28"	23454	2271036	1032.7	1019.5	1046.0
	"1971"	"1971"	"Missouri"	"29"	50981	4726673	1078.6	1069.2	1087.9
	"1971"	"1971"	"Montana"	"30"	6854	711731	963.0	940.2	985.8
	"1971"	"1971"	"Nebraska"	"31"	15179	1505413	1008.3	992.3	1024.3
	"1971"	"1971"	"Nevada"	"32"	3980	520601	764.5	740.7	788.3
	"1971"	"1971"	"New Hampshire"	"33"	7471	762420	979.9	957.7	1002.1
	"1971"	"1971"	"New Jersey"	"34"	68765	7277865	944.9	937.8	951.9
	"1971"	"1971"	"New Mexico"	"35"	7634	1055541	723.2	707.0	739.5
	"1971"	"1971"	"New York"	"36"	186616	18356459	1016.6	1012.0	1021.2
	"1971"	"1971"	"North Carolina"	"37"	44910	5207765	862.4	854.4	870.3
	"1971"	"1971"	"North Dakota"	"38"	5594	626719	892.6	869.2	916.0
	"1971"	"1971"	"Ohio"	"39"	99976	10741460	930.7	925.0	936.5
	"1971"	"1971"	"Oklahoma"	"40"	25886	2622460	987.1	975.1	999.1
	"1971"	"1971"	"Oregon"	"41"	20061	2149614	933.2	920.3	946.2
	"1971"	"1971"	"Pennsylvania"	"42"	127052	11882336	1069.3	1063.4	1075.1
	"1971"	"1971"	"Rhode Island"	"44"	9355	963783	970.7	951.0	990.3
	"1971"	"1971"	"South Carolina"	"45"	23158	2666694	868.4	857.2	879.6
	"1971"	"1971"	"South Dakota"	"46"	6714	672094	999.0	975.1	1022.9
	"1971"	"1971"	"Tennessee"	"47"	37839	4015706	942.3	932.8	951.8
	"1971"	"1971"	"Texas"	"48"	94902	11533927	822.8	817.6	828.0
	"1971"	"1971"	"Utah"	"49"	7269	1104169	658.3	643.2	673.5
	"1971"	"1971"	"Vermont"	"50"	4402	454323	968.9	940.3	997.5
	"1971"	"1971"	"Virginia"	"51"	39605	4756532	832.6	824.4	840.8
	"1971"	"1971"	"Washington"	"53"	30408	3446521	882.3	872.4	892.2
	"1971"	"1971"	"West Virginia"	"54"	19689	1773183	1110.4	1094.9	1125.9
	"1971"	"1971"	"Wisconsin"	"55"	40350	4456250	905.5	896.6	914.3
	"1971"	"1971"	"Wyoming"	"56"	3054	340281	897.5	865.7	929.3
"Total"	"1971"	"1971"			1927542	206937749	931.5	930.1	932.8
	"1972"	"1972"	"Alabama"	"01"	34572	3541028	976.3	966.0	986.6
	"1972"	"1972"	"Alaska"	"02"	1440	326586	440.9	418.2	463.7
	"1972"	"1972"	"Arizona"	"04"	15810	2010557	786.3	774.1	798.6
	"1972"	"1972"	"Arkansas"	"05"	21798	2018461	1079.9	1065.6	1094.3
	"1972"	"1972"	"California"	"06"	169984	20567494	826.5	822.5	830.4
	"1972"	"1972"	"Colorado"	"08"	17824	2403338	741.6	730.7	752.5
	"1972"	"1972"	"Connecticut"	"09"	26350	3061896	860.6	850.2	871.0
	"1972"	"1972"	"Delaware"	"10"	4962	573056	865.9	841.8	890.0
	"1972"	"1972"	"District of Columbia"	"11"	8462	745086	1135.7	1111.5	1159.9
	"1972"	"1972"	"Florida"	"12"	83310	7522728	1107.4	1099.9	1115.0
	"1972"	"1972"	"Georgia"	"13"	42986	4807764	894.1	885.6	902.5
	"1972"	"1972"	"Hawaii"	"15"	4304	828240	519.7	504.1	535.2
	"1972"	"1972"	"Idaho"	"16"	6352	763407	832.1	811.6	852.5
	"1972"	"1972"	"Illinois"	"17"	111298	11252067	989.1	983.3	994.9
	"1972"	"1972"	"Indiana"	"18"	49138	5292507	928.4	920.2	936.7
	"1972"	"1972"	"Iowa"	"19"	29932	2855438	1048.2	1036.4	1060.1
	"1972"	"1972"	"Kansas"	"20"	22388	2254267	993.1	980.1	1006.1
	"1972"	"1972"	"Kentucky"	"21"	34048	3335801	1020.7	1009.8	1031.5
	"1972"	"1972"	"Louisiana"	"22"	34390	3761076	914.4	904.7	924.0
	"1972"	"1972"	"Maine"	"23"	11198	1033946	1083.0	1063.0	1103.1
	"1972"	"1972"	"Maryland"	"24"	33408	4072805	820.3	811.5	829.1
	"1972"	"1972"	"Massachusetts"	"25"	57152	5750370	993.9	985.7	1002.0
	"1972"	"1972"	"Michigan"	"26"	78674	9014281	872.8	866.7	878.9
	"1972"	"1972"	"Minnesota"	"27"	34554	3858737	895.5	886.0	904.9
	"1972"	"1972"	"Mississippi"	"28"	23680	2309917	1025.1	1012.1	1038.2
	"1972"	"1972"	"Missouri"	"29"	52458	4751840	1104.0	1094.5	1113.4
	"1972"	"1972"	"Montana"	"30"	6896	718846	959.3	936.7	982.0
	"1972"	"1972"	"Nebraska"	"31"	15534	1517247	1023.8	1007.7	1039.9
	"1972"	"1972"	"Nevada"	"32"	4090	546589	748.3	725.3	771.2
	"1972"	"1972"	"New Hampshire"	"33"	7500	780678	960.7	939.0	982.4
	"1972"	"1972"	"New Jersey"	"34"	69250	7323158	945.6	938.6	952.7
	"1972"	"1972"	"New Mexico"	"35"	7926	1078424	735.0	718.8	751.1
	"1972"	"1972"	"New York"	"36"	185284	18321228	1011.3	1006.7	1015.9
	"1972"	"1972"	"North Carolina"	"37"	47288	5296527	892.8	884.8	900.9
	"1972"	"1972"	"North Dakota"	"38"	5616	630758	890.4	867.1	913.6
	"1972"	"1972"	"Ohio"	"39"	101982	10736474	949.9	944.0	955.7
	"1972"	"1972"	"Oklahoma"	"40"	26936	2658621	1013.2	1001.1	1025.3
	"1972"	"1972"	"Oregon"	"41"	20158	2192728	919.3	906.6	932.0
	"1972"	"1972"	"Pennsylvania"	"42"	127564	11889039	1073.0	1067.1	1078.8
	"1972"	"1972"	"Rhode Island"	"44"	9540	974897	978.6	958.9	998.2
	"1972"	"1972"	"South Carolina"	"45"	23932	2719860	879.9	868.8	891.0
	"1972"	"1972"	"South Dakota"	"46"	7028	677239	1037.7	1013.5	1062.0
	"1972"	"1972"	"Tennessee"	"47"	39374	4088236	963.1	953.6	972.6
	"1972"	"1972"	"Texas"	"48"	99338	11766356	844.3	839.0	849.5
	"1972"	"1972"	"Utah"	"49"	7322	1136077	644.5	629.7	659.3
	"1972"	"1972"	"Vermont"	"50"	4318	462654	933.3	905.5	961.1
	"1972"	"1972"	"Virginia"	"51"	40960	4825321	848.9	840.6	857.1
	"1972"	"1972"	"Washington"	"53"	29836	3440865	867.1	857.3	876.9
	"1972"	"1972"	"West Virginia"	"54"	20606	1797513	1146.4	1130.7	1162.0
	"1972"	"1972"	"Wisconsin"	"55"	42120	4488640	938.4	929.4	947.3
	"1972"	"1972"	"Wyoming"	"56"	3074	346869	886.2	854.9	917.5
"Total"	"1972"	"1972"			1963944	209127537	939.1	937.8	940.4
	"1973"	"1973"	"Alabama"	"01"	35408	3579861	989.1	978.8	999.4
	"1973"	"1973"	"Alaska"	"02"	1459	332940	438.2	415.7	460.7
	"1973"	"1973"	"Arizona"	"04"	16847	2125744	792.5	780.6	804.5
	"1973"	"1973"	"Arkansas"	"05"	22156	2058222	1076.5	1062.3	1090.6
	"1973"	"1973"	"California"	"06"	172710	20847325	828.5	824.5	832.4
	"1973"	"1973"	"Colorado"	"08"	18674	2493738	748.8	738.1	759.6
	"1973"	"1973"	"Connecticut"	"09"	26714	3061705	872.5	862.1	883.0
	"1973"	"1973"	"Delaware"	"10"	4920	578025	851.2	827.4	875.0
	"1973"	"1973"	"District of Columbia"	"11"	8068	734382	1098.6	1074.6	1122.6
	"1973"	"1973"	"Florida"	"12"	87938	7923830	1109.8	1102.5	1117.1
	"1973"	"1973"	"Georgia"	"13"	43871	4905290	894.4	886.0	902.7
	"1973"	"1973"	"Hawaii"	"15"	4368	850988	513.3	498.1	528.5
	"1973"	"1973"	"Idaho"	"16"	6479	782170	828.3	808.2	848.5
	"1973"	"1973"	"Illinois"	"17"	110510	11249495	982.4	976.6	988.1
	"1973"	"1973"	"Indiana"	"18"	49671	5323335	933.1	924.9	941.3
	"1973"	"1973"	"Iowa"	"19"	29255	2858165	1023.6	1011.8	1035.3
	"1973"	"1973"	"Kansas"	"20"	22789	2262344	1007.3	994.2	1020.4
	"1973"	"1973"	"Kentucky"	"21"	34434	3369509	1021.9	1011.1	1032.7
	"1973"	"1973"	"Louisiana"	"22"	35039	3787218	925.2	915.5	934.9
	"1973"	"1973"	"Maine"	"23"	10870	1045235	1040.0	1020.4	1059.5
	"1973"	"1973"	"Maryland"	"24"	32712	4098790	798.1	789.4	806.7
	"1973"	"1973"	"Massachusetts"	"25"	57318	5771004	993.2	985.1	1001.3
	"1973"	"1973"	"Michigan"	"26"	78359	9059361	865.0	858.9	871.0
	"1973"	"1973"	"Minnesota"	"27"	33851	3876121	873.3	864.0	882.6
	"1973"	"1973"	"Mississippi"	"28"	24022	2350797	1021.9	1008.9	1034.8
	"1973"	"1973"	"Missouri"	"29"	51976	4770262	1089.6	1080.2	1099.0
	"1973"	"1973"	"Montana"	"30"	6867	726987	944.6	922.2	966.9
	"1973"	"1973"	"Nebraska"	"31"	14998	1526978	982.2	966.5	997.9
	"1973"	"1973"	"Nevada"	"32"	4264	568252	750.4	727.8	772.9
	"1973"	"1973"	"New Hampshire"	"33"	7583	800313	947.5	926.2	968.8
	"1973"	"1973"	"New Jersey"	"34"	68687	7321409	938.2	931.2	945.2
	"1973"	"1973"	"New Mexico"	"35"	8119	1104795	734.9	718.9	750.9
	"1973"	"1973"	"New York"	"36"	181287	18162182	998.2	993.6	1002.8
	"1973"	"1973"	"North Carolina"	"37"	47755	5380033	887.6	879.7	895.6
	"1973"	"1973"	"North Dakota"	"38"	5767	631908	912.6	889.1	936.2
	"1973"	"1973"	"Ohio"	"39"	101510	10752148	944.1	938.3	949.9
	"1973"	"1973"	"Oklahoma"	"40"	27349	2693197	1015.5	1003.4	1027.5
	"1973"	"1973"	"Oregon"	"41"	20906	2235886	935.0	922.3	947.7
	"1973"	"1973"	"Pennsylvania"	"42"	126632	11865647	1067.2	1061.3	1073.1
	"1973"	"1973"	"Rhode Island"	"44"	9509	976062	974.2	954.6	993.8
	"1973"	"1973"	"South Carolina"	"45"	24896	2775712	896.9	885.8	908.1
	"1973"	"1973"	"South Dakota"	"46"	6643	678608	978.9	955.4	1002.5
	"1973"	"1973"	"Tennessee"	"47"	39794	4137128	961.9	952.4	971.3
	"1973"	"1973"	"Texas"	"48"	101647	12020386	845.6	840.4	850.8
	"1973"	"1973"	"Utah"	"49"	7585	1170108	648.2	633.6	662.8
	"1973"	"1973"	"Vermont"	"50"	4504	467563	963.3	935.2	991.4
	"1973"	"1973"	"Virginia"	"51"	41151	4901476	839.6	831.5	847.7
	"1973"	"1973"	"Washington"	"53"	30812	3471792	887.5	877.6	897.4
	"1973"	"1973"	"West Virginia"	"54"	19955	1804276	1106.0	1090.6	1121.3
	"1973"	"1973"	"Wisconsin"	"55"	41295	4508777	915.9	907.0	924.7
	"1973"	"1973"	"Wyoming"	"56"	3070	353345	868.8	838.1	899.6
"Total"	"1973"	"1973"			1973003	211130824	934.5	933.2	935.8
	"1974"	"1974"	"Alabama"	"01"	34737	3627380	957.6	947.6	967.7
	"1974"	"1974"	"Alaska"	"02"	1489	344834	431.8	409.9	453.7
	"1974"	"1974"	"Arizona"	"04"	17050	2225627	766.1	754.6	777.6
	"1974"	"1974"	"Arkansas"	"05"	22226	2100719	1058.0	1044.1	1071.9
	"1974"	"1974"	"California"	"06"	170403	21173032	804.8	801.0	808.6
	"1974"	"1974"	"Colorado"	"08"	17922	2539958	705.6	695.3	715.9
	"1974"	"1974"	"Connecticut"	"09"	26129	3070012	851.1	840.8	861.4
	"1974"	"1974"	"Delaware"	"10"	4986	582444	856.0	832.3	879.8
	"1974"	"1974"	"District of Columbia"	"11"	7848	721455	1087.8	1063.7	1111.9
	"1974"	"1974"	"Florida"	"12"	88015	8313595	1058.7	1051.7	1065.7
	"1974"	"1974"	"Georgia"	"13"	42953	4991975	860.4	852.3	868.6
	"1974"	"1974"	"Hawaii"	"15"	4343	867287	500.8	485.9	515.7
	"1974"	"1974"	"Idaho"	"16"	6460	808689	798.8	779.3	818.3
	"1974"	"1974"	"Illinois"	"17"	108171	11267972	960.0	954.3	965.7
	"1974"	"1974"	"Indiana"	"18"	48269	5345260	903.0	895.0	911.1
	"1974"	"1974"	"Iowa"	"19"	28773	2864525	1004.5	992.9	1016.1
	"1974"	"1974"	"Kansas"	"20"	22235	2267286	980.7	967.8	993.6
	"1974"	"1974"	"Kentucky"	"21"	33506	3415077	981.1	970.6	991.6
