"Notes"	"Year"	"Year Code"	"State"	"State Code"	Births	Total Population	Birth Rate	Female Population	Fertility Rate	Average Birth Weight	Average Age of Mother	Average LMP Gestational Age
	"2003"	"2003"	"Maine"	"23"	13855	1306513	10.60	264210	52.44	3397.96	27.77	39.03
	"2003"	"2003"	"Maryland"	"24"	74930	5496269	13.63	1205514	62.16	3266.76	28.59	38.54
	"2003"	"2003"	"Massachusetts"	"25"	80184	6422565	12.48	1402159	57.19	3342.20	29.86	38.74
	"2003"	"2003"	"Michigan"	"26"	131094	10041152	13.06	2103447	62.32	3312.84	27.53	38.69
	"2003"	"2003"	"Minnesota"	"27"	70050	5053572	13.86	1079356	64.90	3393.02	28.29	38.84
	"2003"	"2003"	"Mississippi"	"28"	42380	2868312	14.78	619905	68.37	3163.77	25.27	38.14
	"2003"	"2003"	"Missouri"	"29"	77045	5709403	13.49	1198000	64.31	3290.81	26.64	38.55
	"2003"	"2003"	"Montana"	"30"	11422	919630	12.42	181170	63.05	3306.68	26.94	38.75
	"2003"	"2003"	"Nebraska"	"31"	25917	1738643	14.91	360602	71.87	3323.47	27.18	38.61
	"2003"	"2003"	"Nevada"	"32"	33647	2248850	14.96	466779	72.08	3261.76	27.03	38.51
	"2003"	"2003"	"New Hampshire"	"33"	14393	1279840	11.25	269507	53.40	3399.78	29.01	38.99
	"2003"	"2003"	"New Jersey"	"34"	116983	8601402	13.60	1804537	64.83	3293.93	29.49	38.70
	"2003"	"2003"	"New Mexico"	"35"	27821	1877574	14.82	391745	71.02	3218.12	25.73	38.69
	"2003"	"2003"	"New York"	"36"	253714	19175939	13.23	4172585	60.80	3294.28	28.88	38.78
	"2003"	"2003"	"North Carolina"	"37"	118323	8422501	14.05	1816427	65.14	3272.16	26.97	38.61
	"2003"	"2003"	"North Dakota"	"38"	7972	638817	12.48	130714	60.99	3368.96	27.19	38.62
	"2003"	"2003"	"Ohio"	"39"	149679	11434788	13.09	2378187	62.94	3287.22	27.12	38.62
	"2003"	"2003"	"Oklahoma"	"40"	50981	3504892	14.55	726158	70.21	3282.02	25.67	38.61
	"2003"	"2003"	"Oregon"	"41"	45953	3547376	12.95	728692	63.06	3380.96	27.42	38.86
	"2003"	"2003"	"Pennsylvania"	"42"	145959	12374658	11.79	2508515	58.19	3306.73	28.04	38.70
	"2003"	"2003"	"Rhode Island"	"44"	13209	1071342	12.33	232485	56.82	3297.85	28.50	38.74
	"2003"	"2003"	"South Carolina"	"45"	55649	4150297	13.41	886516	62.77	3217.34	26.37	38.33
	"2003"	"2003"	"South Dakota"	"46"	11027	763729	14.44	154582	71.33	3347.16	26.87	38.67
	"2003"	"2003"	"Tennessee"	"47"	78890	5847812	13.49	1246080	63.31	3238.35	26.21	38.41
	"2003"	"2003"	"Texas"	"48"	377476	22030931	17.13	4901904	77.01	3265.38	26.40	38.50
	"2003"	"2003"	"Utah"	"49"	49860	2360137	21.13	543155	91.80	3285.42	26.67	38.57
	"2003"	"2003"	"Vermont"	"50"	6589	617858	10.66	127556	51.66	3385.73	28.61	39.08
	"2003"	"2003"	"Virginia"	"51"	101254	7366977	13.74	1611655	62.83	3288.99	28.02	38.68
	"2003"	"2003"	"Washington"	"53"	80489	6104115	13.19	1302723	61.79	3384.72	27.86	38.89
	"2003"	"2003"	"West Virginia"	"54"	20935	1812295	11.55	358547	58.39	3259.23	25.96	38.56
	"2003"	"2003"	"Wisconsin"	"55"	70040	5479203	12.78	1147439	61.04	3358.04	27.73	38.79
	"2003"	"2003"	"Wyoming"	"56"	6700	503453	13.31	102075	65.64	3185.73	25.83	38.57
"Total"	"2003"	"2003"			4089950	290107933	14.10	61887915	66.09	3291.03	27.44	38.64
	"2004"	"2004"	"Alabama"	"01"	59510	4530729	13.13	949720	62.66	3195.31	25.96	38.25
	"2004"	"2004"	"Alaska"	"02"	10338	659286	15.68	141321	73.15	3415.80	27.00	38.76
	"2004"	"2004"	"Arizona"	"04"	93663	5652404	16.57	1163001	80.54	3290.61	26.65	38.56
	"2004"	"2004"	"Arkansas"	"05"	38573	2749686	14.03	561585	68.69	3241.10	25.42	38.61
	"2004"	"2004"	"California"	"06"	544843	35574576	15.32	7776242	70.07	3320.99	28.08	38.81
	"2004"	"2004"	"Colorado"	"08"	68503	4575013	14.97	988608	69.29	3193.89	27.69	38.59
	"2004"	"2004"	"Connecticut"	"09"	42095	3496094	12.04	713713	58.98	3315.26	29.54	38.72
	"2004"	"2004"	"Delaware"	"10"	11369	830803	13.68	176800	64.30	3259.67	27.43	38.49
	"2004"	"2004"	"District of Columbia"	"11"	7933	567754	13.97	143022	55.47	3182.09	28.16	38.46
	"2004"	"2004"	"Florida"	"12"	218053	17415318	12.52	3445510	63.29	3249.18	27.36	38.55
	"2004"	"2004"	"Georgia"	"13"	138849	8769252	15.83	1967743	70.56	3233.74	26.86	38.37
	"2004"	"2004"	"Hawaii"	"15"	18281	1273569	14.35	257463	71.00	3248.81	28.01	38.80
	"2004"	"2004"	"Idaho"	"16"	22532	1391802	16.19	286887	78.54	3302.07	26.53	38.71
	"2004"	"2004"	"Illinois"	"17"	180778	12589773	14.36	2686916	67.28	3282.03	27.84	38.54
	"2004"	"2004"	"Indiana"	"18"	87142	6233007	13.98	1303474	66.85	3285.71	26.66	38.57
	"2004"	"2004"	"Iowa"	"19"	38438	2953635	13.01	591076	65.03	3350.41	27.20	38.77
	"2004"	"2004"	"Kansas"	"20"	39669	2734373	14.51	562942	70.47	3305.76	26.86	38.63
	"2004"	"2004"	"Kentucky"	"21"	55720	4146101	13.44	869791	64.06	3266.74	26.28	38.59
	"2004"	"2004"	"Louisiana"	"22"	65369	4552238	14.36	987382	66.20	3161.11	25.67	38.21
	"2004"	"2004"	"Maine"	"23"	13944	1313688	10.61	262101	53.20	3389.04	27.74	38.97
	"2004"	"2004"	"Maryland"	"24"	74628	5546935	13.45	1207571	61.80	3256.94	28.62	38.51
	"2004"	"2004"	"Massachusetts"	"25"	78484	6412281	12.24	1387080	56.58	3328.12	29.92	38.70
	"2004"	"2004"	"Michigan"	"26"	129776	10055315	12.91	2083796	62.28	3303.06	27.53	38.66
	"2004"	"2004"	"Minnesota"	"27"	70624	5087713	13.88	1074722	65.71	3378.01	28.25	38.78
	"2004"	"2004"	"Mississippi"	"28"	42827	2889010	14.82	619377	69.15	3155.72	25.30	38.13
	"2004"	"2004"	"Missouri"	"29"	77765	5747741	13.53	1195584	65.04	3281.52	26.67	38.55
	"2004"	"2004"	"Montana"	"30"	11519	930009	12.39	180947	63.66	3301.60	26.83	38.76
	"2004"	"2004"	"Nebraska"	"31"	26332	1749370	15.05	358983	73.35	3319.11	27.28	38.62
	"2004"	"2004"	"Nevada"	"32"	35200	2346222	15.00	485770	72.46	3256.68	27.07	38.51
	"2004"	"2004"	"New Hampshire"	"33"	14565	1290121	11.29	268253	54.30	3373.59	29.08	38.90
	"2004"	"2004"	"New Jersey"	"34"	115253	8634561	13.35	1795884	64.18	3284.18	29.55	38.68
	"2004"	"2004"	"New Mexico"	"35"	28384	1903808	14.91	393951	72.05	3218.55	25.83	38.69
	"2004"	"2004"	"New York"	"36"	249947	19171567	13.04	4146590	60.28	3283.12	28.92	38.75
	"2004"	"2004"	"North Carolina"	"37"	119847	8553152	14.01	1828322	65.55	3266.73	26.95	38.58
	"2004"	"2004"	"North Dakota"	"38"	8189	644705	12.70	130597	62.70	3368.60	27.19	38.60
	"2004"	"2004"	"Ohio"	"39"	148954	11452251	13.01	2357707	63.18	3277.29	27.13	38.59
	"2004"	"2004"	"Oklahoma"	"40"	51306	3525233	14.55	723187	70.94	3268.37	25.72	38.56
	"2004"	"2004"	"Oregon"	"41"	45678	3569463	12.80	726189	62.90	3374.93	27.49	38.84
	"2004"	"2004"	"Pennsylvania"	"42"	144748	12410722	11.66	2495286	58.01	3297.17	28.04	38.68
	"2004"	"2004"	"Rhode Island"	"44"	12779	1074579	11.89	231091	55.30	3313.24	28.42	38.83
	"2004"	"2004"	"South Carolina"	"45"	56590	4210921	13.44	892336	63.42	3207.51	26.36	38.33
	"2004"	"2004"	"South Dakota"	"46"	11338	770396	14.72	154312	73.47	3339.05	26.78	38.57
	"2004"	"2004"	"Tennessee"	"47"	79642	5910809	13.47	1247608	63.84	3238.26	26.28	38.36
	"2004"	"2004"	"Texas"	"48"	381293	22394023	17.03	4943287	77.13	3254.76	26.43	38.48
	"2004"	"2004"	"Utah"	"49"	50670	2401580	21.10	547780	92.50	3283.55	26.82	38.56
	"2004"	"2004"	"Vermont"	"50"	6599	619920	10.64	126596	52.13	3396.37	28.34	39.14
	"2004"	"2004"	"Virginia"	"51"	103933	7475575	13.90	1623499	64.02	3280.34	28.04	38.67
	"2004"	"2004"	"Washington"	"53"	81747	6178645	13.23	1308979	62.45	3376.17	27.84	38.85
	"2004"	"2004"	"West Virginia"	"54"	20880	1816438	11.50	355171	58.79	3244.89	26.10	38.47
	"2004"	"2004"	"Wisconsin"	"55"	70146	5514026	12.72	1141791	61.44	3353.66	27.75	38.79
	"2004"	"2004"	"Wyoming"	"56"	6807	509106	13.37	101850	66.83	3190.42	25.96	38.62
"Total"	"2004"	"2004"			4112052	292805298	14.04	61969393	66.36	3281.68	27.46	38.61
	"2005"	"2005"	"Alabama"	"01"	60453	4569805	13.23	950989	63.57	3178.65	26.01	38.16
	"2005"	"2005"	"Alaska"	"02"	10459	666946	15.68	141584	73.87	3421.64	27.01	38.73
	"2005"	"2005"	"Arizona"	"04"	96199	5839077	16.48	1193895	80.58	3291.79	26.65	38.54
	"2005"	"2005"	"Arkansas"	"05"	39208	2781097	14.10	564475	69.46	3233.84	25.48	38.57
	"2005"	"2005"	"California"	"06"	548882	35827943	15.32	7787065	70.49	3312.83	28.07	38.75
	"2005"	"2005"	"Colorado"	"08"	68944	4631888	14.88	990942	69.57	3188.14	27.72	38.57
	"2005"	"2005"	"Connecticut"	"09"	41718	3506956	11.90	709938	58.76	3299.24	29.50	38.67
	"2005"	"2005"	"Delaware"	"10"	11643	845150	13.78	178400	65.26	3238.15	27.38	38.40
	"2005"	"2005"	"District of Columbia"	"11"	7971	567136	14.05	143933	55.38	3185.42	28.24	38.43
	"2005"	"2005"	"Florida"	"12"	226240	17842038	12.68	3516498	64.34	3239.20	27.32	38.47
	"2005"	"2005"	"Georgia"	"13"	142200	8925922	15.93	1991058	71.42	3221.45	26.84	38.26
	"2005"	"2005"	"Hawaii"	"15"	17924	1292729	13.87	258859	69.24	3244.61	28.02	38.75
	"2005"	"2005"	"Idaho"	"16"	23062	1428241	16.15	292111	78.95	3299.16	26.62	38.69
	"2005"	"2005"	"Illinois"	"17"	179020	12609903	14.20	2671641	67.01	3270.76	27.86	38.51
	"2005"	"2005"	"Indiana"	"18"	87193	6278616	13.89	1301573	66.99	3271.63	26.63	38.52
	"2005"	"2005"	"Iowa"	"19"	39311	2964454	13.26	587349	66.93	3339.03	27.12	38.73
	"2005"	"2005"	"Kansas"	"20"	39888	2745299	14.53	559780	71.26	3299.46	26.80	38.61
	"2005"	"2005"	"Kentucky"	"21"	56444	4182742	13.49	867896	65.04	3256.01	26.25	38.44
	"2005"	"2005"	"Louisiana"	"22"	60937	4576628	13.31	982636	62.01	3144.37	25.83	38.12
	"2005"	"2005"	"Maine"	"23"	14112	1318787	10.70	259710	54.34	3371.77	27.71	38.94
	"2005"	"2005"	"Maryland"	"24"	74980	5592379	13.41	1209062	62.02	3250.93	28.57	38.51
	"2005"	"2005"	"Massachusetts"	"25"	76865	6403290	12.00	1374026	55.94	3314.57	29.82	38.65
	"2005"	"2005"	"Michigan"	"26"	127706	10051137	12.71	2064063	61.87	3295.32	27.51	38.63
	"2005"	"2005"	"Minnesota"	"27"	70919	5119598	13.85	1069949	66.28	3367.55	28.25	38.72
	"2005"	"2005"	"Mississippi"	"28"	42395	2905943	14.59	617474	68.66	3139.16	25.30	38.03
	"2005"	"2005"	"Missouri"	"29"	78618	5790300	13.58	1193695	65.86	3275.38	26.62	38.49
	"2005"	"2005"	"Montana"	"30"	11583	940102	12.32	180875	64.04	3307.90	26.86	38.74
	"2005"	"2005"	"Nebraska"	"31"	26145	1761497	14.84	357665	73.10	3313.78	27.29	38.54
	"2005"	"2005"	"Nevada"	"32"	37268	2432143	15.32	504187	73.92	3245.69	27.10	38.45
	"2005"	"2005"	"New Hampshire"	"33"	14420	1298492	11.11	266657	54.08	3372.22	28.97	38.89
	"2005"	"2005"	"New Jersey"	"34"	113776	8651974	13.15	1786210	63.70	3276.12	29.47	38.62
	"2005"	"2005"	"New Mexico"	"35"	28835	1932274	14.92	395135	72.98	3206.12	25.87	38.66
	"2005"	"2005"	"New York"	"36"	246351	19132610	12.88	4113153	59.89	3273.44	28.87	38.68
	"2005"	"2005"	"North Carolina"	"37"	123096	8705407	14.14	1848482	66.59	3255.44	26.98	38.53
	"2005"	"2005"	"North Dakota"	"38"	8390	646089	12.99	129494	64.79	3361.61	27.01	38.64
	"2005"	"2005"	"Ohio"	"39"	148388	11463320	12.94	2336700	63.50	3262.03	27.08	38.49
	"2005"	"2005"	"Oklahoma"	"40"	51801	3548597	14.60	722500	71.70	3264.68	25.74	38.50
	"2005"	"2005"	"Oregon"	"41"	45922	3613202	12.71	729961	62.91	3373.05	27.51	38.83
	"2005"	"2005"	"Pennsylvania"	"42"	145383	12449990	11.68	2485696	58.49	3289.56	28.01	38.64
	"2005"	"2005"	"Rhode Island"	"44"	12697	1067916	11.89	228195	55.64	3310.02	28.53	38.79
	"2005"	"2005"	"South Carolina"	"45"	57711	4270150	13.51	896948	64.34	3203.67	26.38	38.28
	"2005"	"2005"	"South Dakota"	"46"	11462	775493	14.78	153478	74.68	3334.27	26.81	38.46
	"2005"	"2005"	"Tennessee"	"47"	81747	5991057	13.64	1254740	65.15	3222.08	26.19	38.32
	"2005"	"2005"	"Texas"	"48"	385915	22778123	16.94	4986050	77.40	3243.96	26.50	38.41
	"2005"	"2005"	"Utah"	"49"	51556	2457719	20.98	555517	92.81	3272.04	26.94	38.49
	"2005"	"2005"	"Vermont"	"50"	6295	621215	10.13	125327	50.23	3390.19	28.39	39.10
	"2005"	"2005"	"Virginia"	"51"	104555	7577105	13.80	1632658	64.04	3274.09	28.04	38.62
	"2005"	"2005"	"Washington"	"53"	82703	6257305	13.22	1313489	62.96	3376.39	27.88	38.83
	"2005"	"2005"	"West Virginia"	"54"	20836	1820492	11.45	352245	59.15	3229.27	26.19	38.38
	"2005"	"2005"	"Wisconsin"	"55"	70984	5546166	12.80	1135248	62.53	3342.98	27.70	38.75
	"2005"	"2005"	"Wyoming"	"56"	7239	514157	14.08	101425	71.37	3193.35	25.97	38.55
"Total"	"2005"	"2005"			4138349	295516599	14.00	62070636	66.67	3272.31	27.45	38.56
	"2006"	"2006"	"Alabama"	"01"	63232	4628981	13.66	956058	66.14	3176.27	25.91	38.13
	"2006"	"2006"	"Alaska"	"02"	10996	675302	16.28	142365	77.24	3405.20	26.92	38.75
	"2006"	"2006"	"Arizona"	"04"	102429	6029141	16.99	1226198	83.53	3286.04	26.62	38.53
	"2006"	"2006"	"Arkansas"	"05"	40961	2821761	14.52	568452	72.06	3225.11	25.44	38.47
	"2006"	"2006"	"California"	"06"	562440	36021202	15.61	7799350	72.11	3305.94	28.01	38.72
	"2006"	"2006"	"Colorado"	"08"	70751	4720423	14.99	997392	70.94	3191.03	27.71	38.56
	"2006"	"2006"	"Connecticut"	"09"	41820	3517460	11.89	706412	59.20	3290.07	29.35	38.66
	"2006"	"2006"	"Delaware"	"10"	11989	859268	13.95	179175	66.91	3246.59	27.26	38.54
	"2006"	"2006"	"District of Columbia"	"11"	8523	570681	14.93	147102	57.94	3171.00	28.05	38.41
	"2006"	"2006"	"Florida"	"12"	236802	18166990	13.03	3567738	66.37	3234.87	27.27	38.47
	"2006"	"2006"	"Georgia"	"13"	148633	9155813	16.23	2025268	73.39	3211.88	26.80	38.20
	"2006"	"2006"	"Hawaii"	"15"	18982	1309731	14.49	260865	72.77	3242.87	27.94	38.71
	"2006"	"2006"	"Idaho"	"16"	24184	1468669	16.47	297116	81.40	3298.70	26.52	38.66
	"2006"	"2006"	"Illinois"	"17"	180572	12643955	14.28	2661139	67.86	3263.36	27.78	38.49
	"2006"	"2006"	"Indiana"	"18"	88631	6332669	14.00	1300611	68.15	3267.20	26.57	38.49
	"2006"	"2006"	"Iowa"	"19"	40607	2982644	13.61	584547	69.47	3341.83	27.05	38.74
	"2006"	"2006"	"Kansas"	"20"	40968	2762931	14.83	555859	73.70	3292.30	26.79	38.60
	"2006"	"2006"	"Kentucky"	"21"	58250	4219239	13.81	866063	67.26	3241.83	26.15	38.43
	"2006"	"2006"	"Louisiana"	"22"	63376	4302665	14.73	907865	69.81	3136.07	25.70	38.12
	"2006"	"2006"	"Maine"	"23"	14151	1323619	10.69	256525	55.16	3363.98	27.61	38.88
	"2006"	"2006"	"Maryland"	"24"	77494	5627367	13.77	1208091	64.15	3240.53	28.41	38.47
	"2006"	"2006"	"Massachusetts"	"25"	77676	6410084	12.12	1365482	56.89	3309.48	29.68	38.65
	"2006"	"2006"	"Michigan"	"26"	127483	10036081	12.70	2039615	62.50	3286.87	27.41	38.61
	"2006"	"2006"	"Minnesota"	"27"	73525	5163555	14.24	1065989	68.97	3360.39	28.14	38.72
	"2006"	"2006"	"Mississippi"	"28"	46056	2904978	15.85	610195	75.48	3117.20	25.14	38.02
	"2006"	"2006"	"Missouri"	"29"	81385	5842704	13.93	1192159	68.27	3272.87	26.54	38.52
	"2006"	"2006"	"Montana"	"30"	12508	952692	13.13	180789	69.19	3288.44	26.86	38.65
	"2006"	"2006"	"Nebraska"	"31"	26727	1772693	15.08	356094	75.06	3308.47	27.33	38.51
	"2006"	"2006"	"Nevada"	"32"	40027	2522658	15.87	523189	76.51	3239.31	27.08	38.37
	"2006"	"2006"	"New Hampshire"	"33"	14378	1308389	10.99	264202	54.42	3364.48	28.78	38.91
	"2006"	"2006"	"New Jersey"	"34"	115020	8661679	13.28	1774669	64.81	3260.56	29.39	38.57
	"2006"	"2006"	"New Mexico"	"35"	29936	1962137	15.26	396505	75.50	3190.39	25.86	38.57
	"2006"	"2006"	"New York"	"36"	250104	19104631	13.09	4086717	61.20	3265.59	28.79	38.65
	"2006"	"2006"	"North Carolina"	"37"	127859	8917270	14.34	1876880	68.12	3253.54	26.92	38.54
	"2006"	"2006"	"North Dakota"	"38"	8621	649422	13.27	128694	66.99	3357.40	27.12	38.58
	"2006"	"2006"	"Ohio"	"39"	150593	11481213	13.12	2313879	65.08	3255.21	26.98	38.44
	"2006"	"2006"	"Oklahoma"	"40"	54016	3594090	15.03	725330	74.47	3247.57	25.70	38.38
	"2006"	"2006"	"Oregon"	"41"	48689	3670883	13.26	737308	66.04	3367.12	27.51	38.83
	"2006"	"2006"	"Pennsylvania"	"42"	149090	12510809	11.92	2477833	60.17	3278.76	27.92	38.62
	"2006"	"2006"	"Rhode Island"	"44"	12372	1063096	11.64	225110	54.96	3296.88	28.32	38.66
	"2006"	"2006"	"South Carolina"	"45"	62171	4357847	14.27	906199	68.61	3199.69	26.28	38.28
	"2006"	"2006"	"South Dakota"	"46"	11919	783033	15.22	152483	78.17	3315.74	26.78	38.49
	"2006"	"2006"	"Tennessee"	"47"	84355	6088766	13.85	1264696	66.70	3212.83	26.23	38.30
	"2006"	"2006"	"Texas"	"48"	399603	23359580	17.11	5077877	78.69	3234.92	26.46	38.38
	"2006"	"2006"	"Utah"	"49"	53504	2525507	21.19	564615	94.76	3267.03	26.96	38.47
	"2006"	"2006"	"Vermont"	"50"	6511	622892	10.45	124152	52.44	3380.15	28.44	39.03
	"2006"	"2006"	"Virginia"	"51"	107817	7673725	14.05	1640269	65.73	3268.44	27.96	38.60
	"2006"	"2006"	"Washington"	"53"	86876	6370753	13.64	1325781	65.53	3365.61	27.88	38.80
	"2006"	"2006"	"West Virginia"	"54"	20931	1827912	11.45	349980	59.81	3214.86	26.12	38.40
	"2006"	"2006"	"Wisconsin"	"55"	72340	5577655	12.97	1127297	64.17	3336.80	27.62	38.73
	"2006"	"2006"	"Wyoming"	"56"	7672	522667	14.68	101849	75.33	3185.32	26.02	38.55
"Total"	"2006"	"2006"			4265555	298379912	14.30	62190028	68.59	3264.53	27.37	38.53
"Total"					16605906	1176809742	14.11	248117972	66.93	3277.24	27.43	38.58
"---"
"Dataset: Natality, 2003-2006"
"Query Parameters:"
"Title: All Live Births by Year and Mother's State of Residence"
"Group By: Year; State"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: Default intercensal populations for years 2003-2006"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality.html for more information."
"---"
"Query Date: Nov 22, 2022 5:05:12 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2003-2006, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-v2006.html on Nov 22, 2022 5:05:12 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. Birth rates are calculated as the number of births divided by total population in the given year(s). When the numerator is"
"sub-set by mother's race, location, or year of birth, then the same sub-set for age, race, location and year applies to the"
"denominator population."
"3. Fertility rates are calculated as the number of births divided by the number of females age 15 - 44 years old in the given"
"year(s). When the numerator is sub-set by mother's age, mother's race, location, or year of birth, then the same sub-set for"
"age, race, location and year applies to the denominator population. However, if you sub-set mother's age selecting some years"
"not in the 15 - 44 range, those years of mother's age ouside this range will not be included in the denominator population. If"
"you sub-set mother's age selecting only years outside the 15 - 44 range, the denominator population returned will be zero and"
"flagged ""Not Available""."
"4. Records where the ""Birth Weight"" is ""Unknown or Not Stated"" are not included in the calculation of the ""Average Birth"
"Weight"" measure."
"5. Records where the ""LMP Gestation Age"" is ""Unknown or Not Stated"" are not included in the calculation of the ""Average LMP"
"Gestational Age"" measure."
"6. Birth rates and fertility rates for years 2003-2006 are calculated using the revised intercensal bridged-race series of July"
"1st estimates of the resident population, released by NCHS on October 26, 2012. More information:"
"http://wonder.cdc.gov/wonder/help/Natality.html#Denominator-Population-Sources."
