"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2003"	"2003"	"Maine"	"23"	12540	1306513	959.8
	"2003"	"2003"	"Maryland"	"24"	44499	5496269	809.6
	"2003"	"2003"	"Massachusetts"	"25"	56291	6422565	876.5
	"2003"	"2003"	"Michigan"	"26"	86728	10041152	863.7
	"2003"	"2003"	"Minnesota"	"27"	37620	5053572	744.4
	"2003"	"2003"	"Mississippi"	"28"	28489	2868312	993.2
	"2003"	"2003"	"Missouri"	"29"	55582	5709403	973.5
	"2003"	"2003"	"Montana"	"30"	8467	919630	920.7
	"2003"	"2003"	"Nebraska"	"31"	15465	1738643	889.5
	"2003"	"2003"	"Nevada"	"32"	17858	2248850	794.1
	"2003"	"2003"	"New Hampshire"	"33"	9708	1279840	758.5
	"2003"	"2003"	"New Jersey"	"34"	73689	8601402	856.7
	"2003"	"2003"	"New Mexico"	"35"	14805	1877574	788.5
	"2003"	"2003"	"New York"	"36"	155877	19175939	812.9
	"2003"	"2003"	"North Carolina"	"37"	73459	8422501	872.2
	"2003"	"2003"	"North Dakota"	"38"	6090	638817	953.3
	"2003"	"2003"	"Ohio"	"39"	109110	11434788	954.2
	"2003"	"2003"	"Oklahoma"	"40"	35721	3504892	1019.2
	"2003"	"2003"	"Oregon"	"41"	30912	3547376	871.4
	"2003"	"2003"	"Pennsylvania"	"42"	129769	12374658	1048.7
	"2003"	"2003"	"Rhode Island"	"44"	10039	1071342	937.0
	"2003"	"2003"	"South Carolina"	"45"	38112	4150297	918.3
	"2003"	"2003"	"South Dakota"	"46"	7132	763729	933.8
	"2003"	"2003"	"Tennessee"	"47"	57313	5847812	980.1
	"2003"	"2003"	"Texas"	"48"	154870	22030931	703.0
	"2003"	"2003"	"Utah"	"49"	13412	2360137	568.3
	"2003"	"2003"	"Vermont"	"50"	5120	617858	828.7
	"2003"	"2003"	"Virginia"	"51"	58282	7366977	791.1
	"2003"	"2003"	"Washington"	"53"	45920	6104115	752.3
	"2003"	"2003"	"West Virginia"	"54"	21306	1812295	1175.6
	"2003"	"2003"	"Wisconsin"	"55"	46177	5479203	842.8
	"2003"	"2003"	"Wyoming"	"56"	4172	503453	828.7
"Total"	"2003"	"2003"			2448288	290107933	843.9
	"2004"	"2004"	"Alabama"	"01"	46121	4530729	1018.0
	"2004"	"2004"	"Alaska"	"02"	3051	659286	462.8
	"2004"	"2004"	"Arizona"	"04"	43198	5652404	764.2
	"2004"	"2004"	"Arkansas"	"05"	27528	2749686	1001.1
	"2004"	"2004"	"California"	"06"	232525	35574576	653.6
	"2004"	"2004"	"Colorado"	"08"	28309	4575013	618.8
	"2004"	"2004"	"Connecticut"	"09"	29314	3496094	838.5
	"2004"	"2004"	"Delaware"	"10"	7143	830803	859.8
	"2004"	"2004"	"District of Columbia"	"11"	5454	567754	960.6
	"2004"	"2004"	"Florida"	"12"	169008	17415318	970.5
	"2004"	"2004"	"Georgia"	"13"	65818	8769252	750.6
	"2004"	"2004"	"Hawaii"	"15"	9030	1273569	709.0
	"2004"	"2004"	"Idaho"	"16"	10028	1391802	720.5
	"2004"	"2004"	"Illinois"	"17"	102670	12589773	815.5
	"2004"	"2004"	"Indiana"	"18"	54211	6233007	869.7
	"2004"	"2004"	"Iowa"	"19"	26897	2953635	910.6
	"2004"	"2004"	"Kansas"	"20"	23818	2734373	871.1
	"2004"	"2004"	"Kentucky"	"21"	38646	4146101	932.1
	"2004"	"2004"	"Louisiana"	"22"	42215	4552238	927.3
	"2004"	"2004"	"Maine"	"23"	12443	1313688	947.2
	"2004"	"2004"	"Maryland"	"24"	43232	5546935	779.4
	"2004"	"2004"	"Massachusetts"	"25"	54511	6412281	850.1
	"2004"	"2004"	"Michigan"	"26"	85169	10055315	847.0
	"2004"	"2004"	"Minnesota"	"27"	37034	5087713	727.9
	"2004"	"2004"	"Mississippi"	"28"	27871	2889010	964.7
	"2004"	"2004"	"Missouri"	"29"	53950	5747741	938.6
	"2004"	"2004"	"Montana"	"30"	8094	930009	870.3
	"2004"	"2004"	"Nebraska"	"31"	14657	1749370	837.8
	"2004"	"2004"	"Nevada"	"32"	17929	2346222	764.2
	"2004"	"2004"	"New Hampshire"	"33"	10111	1290121	783.7
	"2004"	"2004"	"New Jersey"	"34"	71371	8634561	826.6
	"2004"	"2004"	"New Mexico"	"35"	14298	1903808	751.0
	"2004"	"2004"	"New York"	"36"	152681	19171567	796.4
	"2004"	"2004"	"North Carolina"	"37"	72384	8553152	846.3
	"2004"	"2004"	"North Dakota"	"38"	5601	644705	868.8
	"2004"	"2004"	"Ohio"	"39"	106288	11452251	928.1
	"2004"	"2004"	"Oklahoma"	"40"	34483	3525233	978.2
	"2004"	"2004"	"Oregon"	"41"	30313	3569463	849.2
	"2004"	"2004"	"Pennsylvania"	"42"	127640	12410722	1028.5
	"2004"	"2004"	"Rhode Island"	"44"	9769	1074579	909.1
	"2004"	"2004"	"South Carolina"	"45"	37276	4210921	885.2
	"2004"	"2004"	"South Dakota"	"46"	6833	770396	886.9
	"2004"	"2004"	"Tennessee"	"47"	55829	5910809	944.5
	"2004"	"2004"	"Texas"	"48"	152870	22394023	682.6
	"2004"	"2004"	"Utah"	"49"	13331	2401580	555.1
	"2004"	"2004"	"Vermont"	"50"	4995	619920	805.7
	"2004"	"2004"	"Virginia"	"51"	56550	7475575	756.5
	"2004"	"2004"	"Washington"	"53"	44770	6178645	724.6
	"2004"	"2004"	"West Virginia"	"54"	20793	1816438	1144.7
	"2004"	"2004"	"Wisconsin"	"55"	45600	5514026	827.0
	"2004"	"2004"	"Wyoming"	"56"	3955	509106	776.9
"Total"	"2004"	"2004"			2397615	292805298	818.8
	"2005"	"2005"	"Alabama"	"01"	47090	4569805	1030.5
	"2005"	"2005"	"Alaska"	"02"	3168	666946	475.0
	"2005"	"2005"	"Arizona"	"04"	45827	5839077	784.8
	"2005"	"2005"	"Arkansas"	"05"	28055	2781097	1008.8
	"2005"	"2005"	"California"	"06"	237037	35827943	661.6
	"2005"	"2005"	"Colorado"	"08"	29627	4631888	639.6
	"2005"	"2005"	"Connecticut"	"09"	29467	3506956	840.2
	"2005"	"2005"	"Delaware"	"10"	7472	845150	884.1
	"2005"	"2005"	"District of Columbia"	"11"	5483	567136	966.8
	"2005"	"2005"	"Florida"	"12"	170791	17842038	957.2
	"2005"	"2005"	"Georgia"	"13"	66736	8925922	747.7
	"2005"	"2005"	"Hawaii"	"15"	9136	1292729	706.7
	"2005"	"2005"	"Idaho"	"16"	10556	1428241	739.1
	"2005"	"2005"	"Illinois"	"17"	103974	12609903	824.5
	"2005"	"2005"	"Indiana"	"18"	55675	6278616	886.7
	"2005"	"2005"	"Iowa"	"19"	27811	2964454	938.1
	"2005"	"2005"	"Kansas"	"20"	24682	2745299	899.1
	"2005"	"2005"	"Kentucky"	"21"	40223	4182742	961.6
	"2005"	"2005"	"Louisiana"	"22"	44355	4576628	969.2
	"2005"	"2005"	"Maine"	"23"	12868	1318787	975.7
	"2005"	"2005"	"Maryland"	"24"	43892	5592379	784.9
	"2005"	"2005"	"Massachusetts"	"25"	53874	6403290	841.3
	"2005"	"2005"	"Michigan"	"26"	86867	10051137	864.3
	"2005"	"2005"	"Minnesota"	"27"	37535	5119598	733.2
	"2005"	"2005"	"Mississippi"	"28"	29196	2905943	1004.7
	"2005"	"2005"	"Missouri"	"29"	54656	5790300	943.9
	"2005"	"2005"	"Montana"	"30"	8528	940102	907.1
	"2005"	"2005"	"Nebraska"	"31"	14963	1761497	849.4
	"2005"	"2005"	"Nevada"	"32"	19029	2432143	782.4
	"2005"	"2005"	"New Hampshire"	"33"	10194	1298492	785.1
	"2005"	"2005"	"New Jersey"	"34"	71963	8651974	831.8
	"2005"	"2005"	"New Mexico"	"35"	14983	1932274	775.4
	"2005"	"2005"	"New York"	"36"	152427	19132610	796.7
	"2005"	"2005"	"North Carolina"	"37"	74638	8705407	857.4
	"2005"	"2005"	"North Dakota"	"38"	5744	646089	889.0
	"2005"	"2005"	"Ohio"	"39"	109031	11463320	951.1
	"2005"	"2005"	"Oklahoma"	"40"	36180	3548597	1019.6
	"2005"	"2005"	"Oregon"	"41"	31091	3613202	860.5
	"2005"	"2005"	"Pennsylvania"	"42"	129532	12449990	1040.4
	"2005"	"2005"	"Rhode Island"	"44"	10007	1067916	937.1
	"2005"	"2005"	"South Carolina"	"45"	38707	4270150	906.5
	"2005"	"2005"	"South Dakota"	"46"	7086	775493	913.7
	"2005"	"2005"	"Tennessee"	"47"	57260	5991057	955.8
	"2005"	"2005"	"Texas"	"48"	156457	22778123	686.9
	"2005"	"2005"	"Utah"	"49"	13432	2457719	546.5
	"2005"	"2005"	"Vermont"	"50"	5066	621215	815.5
	"2005"	"2005"	"Virginia"	"51"	57855	7577105	763.6
	"2005"	"2005"	"Washington"	"53"	46203	6257305	738.4
	"2005"	"2005"	"West Virginia"	"54"	20780	1820492	1141.4
	"2005"	"2005"	"Wisconsin"	"55"	46709	5546166	842.2
	"2005"	"2005"	"Wyoming"	"56"	4099	514157	797.2
"Total"	"2005"	"2005"			2448017	295516599	828.4
	"2006"	"2006"	"Alabama"	"01"	46977	4628981	1014.8
	"2006"	"2006"	"Alaska"	"02"	3354	675302	496.7
	"2006"	"2006"	"Arizona"	"04"	46365	6029141	769.0
	"2006"	"2006"	"Arkansas"	"05"	27901	2821761	988.8
	"2006"	"2006"	"California"	"06"	237126	36021202	658.3
	"2006"	"2006"	"Colorado"	"08"	29521	4720423	625.4
	"2006"	"2006"	"Connecticut"	"09"	29260	3517460	831.9
	"2006"	"2006"	"Delaware"	"10"	7204	859268	838.4
	"2006"	"2006"	"District of Columbia"	"11"	5344	570681	936.4
	"2006"	"2006"	"Florida"	"12"	170066	18166990	936.1
	"2006"	"2006"	"Georgia"	"13"	67808	9155813	740.6
	"2006"	"2006"	"Hawaii"	"15"	9432	1309731	720.1
	"2006"	"2006"	"Idaho"	"16"	10613	1468669	722.6
	"2006"	"2006"	"Illinois"	"17"	102171	12643955	808.1
	"2006"	"2006"	"Indiana"	"18"	55622	6332669	878.3
	"2006"	"2006"	"Iowa"	"19"	27362	2982644	917.4
	"2006"	"2006"	"Kansas"	"20"	24553	2762931	888.7
	"2006"	"2006"	"Kentucky"	"21"	40102	4219239	950.5
	"2006"	"2006"	"Louisiana"	"22"	40045	4302665	930.7
	"2006"	"2006"	"Maine"	"23"	12294	1323619	928.8
	"2006"	"2006"	"Maryland"	"24"	43582	5627367	774.5
	"2006"	"2006"	"Massachusetts"	"25"	53450	6410084	833.8
	"2006"	"2006"	"Michigan"	"26"	86042	10036081	857.3
	"2006"	"2006"	"Minnesota"	"27"	37028	5163555	717.1
	"2006"	"2006"	"Mississippi"	"28"	28564	2904978	983.3
	"2006"	"2006"	"Missouri"	"29"	54681	5842704	935.9
	"2006"	"2006"	"Montana"	"30"	8472	952692	889.3
	"2006"	"2006"	"Nebraska"	"31"	14899	1772693	840.5
	"2006"	"2006"	"Nevada"	"32"	18872	2522658	748.1
	"2006"	"2006"	"New Hampshire"	"33"	10060	1308389	768.9
	"2006"	"2006"	"New Jersey"	"34"	70356	8661679	812.3
	"2006"	"2006"	"New Mexico"	"35"	15296	1962137	779.6
	"2006"	"2006"	"New York"	"36"	148806	19104631	778.9
	"2006"	"2006"	"North Carolina"	"37"	74716	8917270	837.9
	"2006"	"2006"	"North Dakota"	"38"	5868	649422	903.6
	"2006"	"2006"	"Ohio"	"39"	106825	11481213	930.4
	"2006"	"2006"	"Oklahoma"	"40"	35427	3594090	985.7
	"2006"	"2006"	"Oregon"	"41"	31380	3670883	854.8
	"2006"	"2006"	"Pennsylvania"	"42"	125539	12510809	1003.4
	"2006"	"2006"	"Rhode Island"	"44"	9690	1063096	911.5
	"2006"	"2006"	"South Carolina"	"45"	38761	4357847	889.5
	"2006"	"2006"	"South Dakota"	"46"	7084	783033	904.7
	"2006"	"2006"	"Tennessee"	"47"	56838	6088766	933.5
	"2006"	"2006"	"Texas"	"48"	157150	23359580	672.7
	"2006"	"2006"	"Utah"	"49"	13764	2525507	545.0
	"2006"	"2006"	"Vermont"	"50"	5048	622892	810.4
	"2006"	"2006"	"Virginia"	"51"	57690	7673725	751.8
	"2006"	"2006"	"Washington"	"53"	46120	6370753	723.9
	"2006"	"2006"	"West Virginia"	"54"	20672	1827912	1130.9
	"2006"	"2006"	"Wisconsin"	"55"	46153	5577655	827.5
	"2006"	"2006"	"Wyoming"	"56"	4311	522667	824.8
"Total"	"2006"	"2006"			2426264	298379912	813.1
	"2007"	"2007"	"Alabama"	"01"	46696	4672840	999.3
	"2007"	"2007"	"Alaska"	"02"	3463	680300	509.0
