first_name,nickname
JOSEMARIA,JOSEMA
JOSEMARIA,PEPEMARIA
JOSERAMON,JOSERRA
JOSUE,CHE
JOSUE,JOS
JOSUE,JOSH
JUAN,JUANCHI
JUAN,JUANCHO
JUAN,JUANELO
JUANCARLOS,JUANCA
JUANCARLOS,JUANCAR
JUANPABLO,JUAMPA
JUANPABLO,JUAMPI
JUANPABLO,JUAMPIS
LUIS,GÜICHO
LUIS,LUCHO
LUIS,LUISITO
LUISFERNANDO,LUISFER
LUISMIGUEL,LUISMI
MIGUEL,MIGUE
MIGUEL,MIGUELON
MIGUEL,MIKE
MIGUEL,MIKE
MIGUEL,MIKI
MOISES,MOI
MOISES,MOICAS
MOISES,MOY
NICOLAS,NICO
NICOLAS,COLATE
NICOLAS,COLACHO
NICOLAS,NIKI
PATRICIO,PATO
PEDRO,PERICO
PEDRO,PEDRUCHO
PEDRO,PETER
RAMIRO,RAMI
RAMIRO,RAMIS
RAMON,MONCHE
RAMON,MONCHO
RAMON,MONCHITO
RAUL,RAULITO
RAUL,RULAS
RAUL,RULIS
RAUL,RULO
RAUL,RULY
RICARDO,KIKI
RICARDO,RICA
RICARDO,RICHAR
RICARDO,RICHI
RICARDO,RICKY
ROBERTO,BETO
ROBERTO,BOBBY
ROBERTO,ROBER
ROLANDO,ROLA
ROLANDO,ROLAN
ROLANDO,ROLO
SALVADOR,CHAVA
SALVADOR,CHAVITA
SALVADOR,SAL
SALVADOR,SALVA
SERGIO,CHECO
SERGIO,CHECHO
SERGIO,KEKO
SERGIO,SERCH
SERGIO,YAYO
SERGIO,YAYITO
VICENTE,CHANDE
VICENTE,CHENTE
VICENTE,CHELO
VICENTE,VICO
VICENTE,VITE
VICTOR,VIC
VICTOR,VICO
VICTOR,VITOLO
ADRIANA,ADRI
ALICIA,ALI
ALICIA,LICHA
ANALUCIA,ANALU
ANAPAULA,ANAPAU
ANDREA,ANDI
ANDREA,NEA
BARBARA,BAR
BARBARA,BARBI
BEATRIZ,BEA
BEATRIZ,BETY
BERENICE,BERE
CAROLINA,CARITO
CAROLINA,CARO
CAROLINA,CAROL
CAROLINA,CAROLA
CAROLINA,LINA
CECILIA,CECI
CECILIA,CECIL
CECILIA,CHECHI
CECILIA,CHECHU
CECILIA,
CRISTINA,CRIS
CRISTINA,CRISTI
CRISTINA,CRISTINITA
CRISTINA,TINA
CONCEPCION,CONCE
CONCEPCION,CONCHA
CONCEPCION,CONCHIS
CONCEPCION,CONCHITA
CONSTANZA,CONI
CONSTANZA,COTI
CONSUELO,CHELO
DANIELA,DANI
DANIELA,DANIELITA
DANIELA,NANY
DOLORES,LOLA
DOLORES,LOLI
DOLORES,LOLIS
DOLORES,LOLITA
ELENA,ELE
ELENA,ELENI
ELENA,LENA
ELENA,NENA
ELOISA,ELO
ERIKA,ERI
ERIKA,KIKA
ESPERANZA,ESPE
ESPERANZA,LANCHA
ESPERANZA,PELANCHA
ESPERANZA,PERA
ESPERANZA,PERIS
ESPERANZA,PERITA
ESTEFANIA,ESTEFA
ESTEFANIA,ESTEFI
ESTEFANIA,FANY
ESTEFANIA,NANI
ESTEFANIA,TEFI
FERNANDA,FER
FERNANDA,FERCHA
FERNANDA,FERCHITA
FERNANDA,FERNI
FERNANDA,NANDA
FERNANDA,NANDITA
FRANCISCA,CISCA
FRANCISCA,CHICA
FRANCISCA,FRAN
FRANCISCA,KIKA
FRANCISCA,PACA
FRANCISCA,PANCHA
FRANCISCA,PANCHITA
FRANCISCA,PAQUI
FRANCISCA,PAQUITA
GENOVEVA,GENO
GENOVEVA,VEVA
GRACIELA,CHELA
GUADALUPE,GUADA
GUADALUPE,LUPE
GUADALUPE,LUPITA
GUILLERMINA,GUILLE
GUILLERMINA,MEMINA
GUILLERMINA,MINA
INES,NECHO
INES,NENA
ISABEL,ISA
ISABEL,CHABE
ISABEL,CHABELA
JOSEFINA,CHEPINA
JOSEFINA,FINA
JOSEFINA,JOSE
JOSEFINA,PEPA
JOSEFINA,PEPITA
JOSEFINA,PINA
JOSEFINA,PINI
LAURA,LALA
LAURA,LORI
LAURA,LAU
LAURA,LAURIS
LOURDES,LULA
LOURDES,LULIS
LOURDES,LULU
MARCELA,MAR
MARCELA,MARCE
MARCELA,CHELA
MARCELA,CHELITA
MARIA,MARI
MARIA,MARIQUITA
MARIA,MARUJA
MARIADELCARMEN,MARICARMEN
MARIAELENA,MARIELE
MARIAELENA,LENA
MARIAELENA,MARIENA
MARIAELENA,NENA
MARIAEUGENIA,MARU
MARIAEUGENIA,MARUJA
MARIAEUGENIA,MARA
MARIAEUGENIA,MANE
MARIAFERNANDA,MAFE
MARIAFERNANDA,MAFER
MARIAFERNANDA,MARIFER
MARIAFERNANDA,FERCHA
MARIAFERNANDA,MAYE
MARIAJOSE,CHEPA
MARIAJOSE,MAJO
MARIAJOSE,MARIJO
MARIAJOSE,MARIJOSE
MARIAJOSE,MARIAPEPA
MARIAJOSE,MARIPEPI
MARIAJOSE,MARIAPEPITO
MARIAJESUS,CHUS
MARIAJESUS,MARIJO
MARIALUISA,MARILU
MARIATERESA,MARITERE
MERCEDES,MERCE
MERCEDES,MECHE
MERCEDES,MECHITA
MERCEDES,MERCI
MERCEDES,MERCHI
MONICA,MONI
MONICA,MONA
NATALIA,NATA
NATALIA,NATI
RAMONA,MONA
RAMONA,MONCHA
RAMONA,MONCHITA
RAMONA,MONSI
REBECA,BECA
REBECA,BECKY
REBECA,REBE
REBECA,REBEQUITA
REGINA,GINA
REGINA,REGINITA
ROCIO,CHIO
ROCIO,ROCI
ROCIO,ROSI
ROSA,ROSI
ROSA,ROSITA
ROSARIO,CHARO
ROSARIO,CHAYO
SILVIA,CHIVA
SILVIA,CHIVIS
SILVIA,SILVIS
SOCORRO,COCO
SOCORRO,COCOY
SOCORRO,COQUIS
SOCORRO,SOCO
SOLEDAD,CHOLE
SOLEDAD,SOL
SOLEDAD,SOLE
YOLANDA,YOLA
YOLANDA,YOLI
YOLANDA,YOYA
YOLANDA,YOYIS
VICTORIA,VICKY
AARON,ERIN
AARON,RONNIE
AARON,RON
ABBIGAIL,NABBY
ABBIGAIL,ABBY
ABBIGAIL,GAIL
ABBIGAIL,ABBI
ABBIGAIL,ABBEY
ABEDNEGO,BEDNEY
ABEL,EBBIE
ABEL,AB
ABEL,ABE
ABEL,EB
ABIEL,AB
ABIGAIL,NABBY
ABIGAIL,ABBY
ABIGAIL,GAIL
ABIJAH,AB
ABIJAH,BIGE
ABNER,AB
ABRAHAM,AB
ABRAHAM,ABE
ABRAM,AB
ABRAM,ABE
ABSALOM,APP
ABSALOM,AB
ABSALOM,ABBIE
ADA,ADDY
ADALINE,DELIA
ADALINE,LENA
ADALINE,DELL
ADALINE,ADDY
ADALINE,ADA
ADDISON,ADDIE
ADDISON,ADDY
ADELA,DELLA
ADELAIDE,HEIDI
ADELAIDE,ADELE
ADELAIDE,DELL
ADELAIDE,ADDY
ADELAIDE,DELLA
ADELBERT,DEL
ADELBERT,ALBERT
ADELBERT,DELBERT
ADELBERT,BERT
ADELE,ADDY
ADELE,DELL
ADELINE,DELIA
ADELINE,LENA
ADELINE,DELL
ADELINE,ADDY
ADELINE,ADA
ADELPHIA,PHILLY
ADELPHIA,DELPHIA
ADELPHIA,ADELE
ADELPHIA,DELL
ADELPHIA,ADDY
ADOLPHUS,DOLPH
ADOLPHUS,ADO
ADOLPHUS,ADOLPH
ADRIAN,RIAN
ADRIANE,RIANE
ADRIENNE,ADDIE
ADRIENNE,RIENNE
ADRIENNE,ENNE
AGATHA,AGGY
AGNES,INEZ
AGNES,AGGY
AGNES,NESSA
AILEEN,LENA
AILEEN,ALLIE
ALAN,AL
ALANSON,AL
ALANSON,LANSON
ALASTAIR,AL
ALAZAMA,ALI
ALBERT,BERT
ALBERT,AL
ALBERTA,BERT
ALBERTA,ALLIE
ALBERTA,BERTIE
ALDO,AL
ALDRICH,RICHE
ALDRICH,RICH
ALEKSANDR,ALEX
ALEKSANDR,ALEK
ALEVA,LEVY
ALEVA,LEVE
ALEX,AL
ALEXANDER,ALEX
ALEXANDER,AL
ALEXANDER,SANDY
ALEXANDER,ALEC
ALEXANDRA,ALEX
ALEXANDRA,SANDY
ALEXANDRA,ALLA
ALEXANDRA,SANDRA
ALEXANDRIA,DRINA
ALEXANDRIA,ALEXANDER
ALEXANDRIA,ALLA
ALEXANDRIA,SANDRA
ALEXIS,LEXI
ALFONSE,AL
ALFRED,FREDDY
ALFRED,AL
ALFRED,FRED
ALFREDA,FREDDY
ALFREDA,ALFY
ALFREDA,FREDA
ALFREDA,FRIEDA
ALGERNON,ALGY
ALICE,LISA
ALICE,ELSIE
ALICE,ALLIE
ALICIA,LISA
ALICIA,ELSIE
ALICIA,ALLIE
ALINE,ADELINE
ALISON,ALI
ALISON,ALLIE
ALIXANDRA,ALIX
ALLAN,AL
ALLEN,AL
ALLISANDRA,ALLIE
ALLISON,ALI
ALLISON,ALLIE
ALLYSON,ALLY
ALLYSON,ALLIE
ALLYSSA,ALLY
ALLYSSA,ALLIE
ALMENA,MENA
ALMENA,ALLIE
ALMINA,MINNIE
ALMIRA,MYRA
ALONZO,LON
ALONZO,AL
ALONZO,LONZO
ALPHINIAS,ALPHUS
ALTHEA,ALLY
ALVERTA,VIRDIE
ALVERTA,VERT
ALYSSA,LISSIA
ALYSSA,AL
ALYSSA,ALLY
ALZADA,ZADA
AMANDA,MANDY
AMANDA,MANDA
AMBROSE,BROSE
AMELIA,AMY
AMELIA,MEL
AMELIA,MILLIE
AMELIA,EMILY
AMOS,MOSES
ANASTASIA,ANA
ANASTASIA,STACY
ANDERSON,ANDY
ANDRE,DREA
ANDREA,DREA
ANDREA,REA
ANDREA,ANDREW
ANDREW,ANDY
ANDREW,DREW
ANDRIANE,ADA
ANDRIANE,ADRI
ANDRIANE,RIENNE
ANGELA,ANGEL
ANGELA,ANGIE
ANGELICA,ANGIE
ANGELICA,ANGEL
ANGELINA,ANGEL
ANGELINA,ANGIE
ANGELINA,LINA
ANN,ANNIE
ANN,NAN
ANNA,ANNE
ANNA,ANN
ANNA,ANNIE
ANNA,NAN
ANNE,ANNIE
ANNE,ANN
ANNE,NAN
ANNETTE,ANNA
ANNETTE,NETTIE
ANNIE,ANN
ANNIE,ANNA
ANSELM,ANSEL
ANSELM,SELMA
ANSELM,ANSE
ANSELM,ANCE
ANTHONY,ANT
ANTHONY,TONY
ANTOINETTE,TONY
ANTOINETTE,NETTA
ANTOINETTE,ANN
ANTONIA,TONY
ANTONIA,NETTA
ANTONIA,ANN
ANTONIO,ANT
ANTONIO,TONY
APPOLINE,APPY
APPOLINE,APPIE
AQUILLA,QUIL
AQUILLA,QUILLIE
ARA,BELLE
ARA,ARRY
ARABELLA,ARA
ARABELLA,BELLA
ARABELLA,ARRY
ARABELLA,BELLE
ARABELLE,ARA
ARABELLE,BELLA
ARABELLE,ARRY
ARABELLE,BELLE
ARAMINTA,ARMIDA
ARAMINTA,MIDDIE
ARAMINTA,RUMINTA
ARAMINTA,MINTY
ARCHIBALD,ARCHIE
ARCHILLES,KILL
ARCHILLES,KILLIS
ARIADNE,ARIE
ARIADNE,ARI
ARIELLE,ARIE
ARISTOTLE,TELLY
ARIZONA,ONIE
ARIZONA,ONA
ARLENE,ARLY
ARLENE,LENA
ARMANDA,MANDY
ARMENA,MENA
ARMENA,ARRY
ARMILDA,MILLY
ARMINDA,MINDIE
ARMINTA,MINITE
ARMINTA,MINNIE
ARNOLD,ARNIE
ARON,ERIN
ARON,RONNIE
ARON,RON
ARTELEPSA,EPSEY
ARTEMUS,ART
ARTHUR,ART
ARTHUSA,THURSA
ARZADA,ZADDI
ASAHEL,ASA
ASAPH,ASA
ASENATH,SENE
ASENATH,ASSENE
ASENATH,NATTY
ASHLEY,ASH
ASHLEY,LEAH
ASHLEY,LEE
AUBREY,BREE
AUDREY,DEE
AUGUST,GUS
AUGUSTA,TINA
AUGUSTA,AGGY
AUGUSTA,GATSY
AUGUSTA,GUSSIE
AUGUSTINA,TINA
AUGUSTINA,AGGY
AUGUSTINA,GATSY
AUGUSTINA,GUSSIE
AUGUSTINE,GUS
AUGUSTINE,AUSTIN
AUGUSTINE,AUGUST
AUGUSTUS,GUS
AUGUSTUS,AUSTIN
AUGUSTUS,AUGUST
AURELIA,REE
AURELIA,RILLY
AURELIA,ORILLA
AURELIA,AURILLA
AURELIA,ORA
AVARILLA,RILLA
AZARIAH,RIAH
AZARIAH,AZE
BAB,BARBY
BABS,BARBY
BABS,BARBARA
BABS,BAB
BARBARA,BARBY
BARBARA,BABS
BARBARA,BAB
BARBARA,BOBBIE
BARBERY,BARBARA
BARBIE,BARBARA
BARNABAS,BARNEY
BARNEY,BARNABAS
BART,BARTHOLOMEW
BARTHOLOMEW,BARTEL
BARTHOLOMEW,BAT
BARTHOLOMEW,MEUS
BARTHOLOMEW,BART
BARTHOLOMEW,MEES
BARTICUS,BART
BAZALEEL,BASIL
BEA,BEATRICE
BEATRICE,BEA
BEATRICE,TRISHA
BEATRICE,TRIXIE
BEATRICE,TRIX
BECCA,BECK
BECK,BECKY
BEDELIA,DELIA
BEDELIA,BRIDGIT
BELINDA,BELLE
BELINDA,LINDA
BELLA,BELLE
BELLA,ARABELLA
BELLA,ISABELLA
BENEDICT,BENNIE
BENEDICT,BEN
BENJAMIN,BENJY
BENJAMIN,JAMIE
BENJAMIN,BENNIE
BENJAMIN,BEN
BENJAMIN,BENNY
BENJY,BENJAMIN
BERNARD,BARNEY
BERNARD,BERNIE
BERNARD,BERNEY
BERNEY,BERNIE
BERT,BERTIE
BERT,BOB
BERT,BOBBY
BERTHA,BERT
BERTHA,BIRDIE
BERTHA,BERTIE
BERTRAM,BERT
BESS,BESSIE
BETH,BETSY
BETH,BETTY
BETH,ELIZABETH
BETHENA,BETH
BETHENA,THANEY
BEVERLY,BEV
BEZALEEL,ZEELY
BIDDIE,BIDDY
BILL,WILLIAM
BILL,BILLY
BILL,ROBERT
BILL,WILLIE
BILL,FRED
BILLY,WILLIAM
BILLY,ROBERT
BILLY,FRED
BLANCHE,BEA
BOB,ROB
BOB,ROBERT
BOBBY,ROB
BOBBY,BOB
BOETIUS,BO
BRAD,BRADFORD
BRAD,FORD
BRADFORD,FORD
BRADFORD,BRAD
BRADLEY,BRAD
BRADY,BRODY
BREANNA,BREE
BREANNA,BRI
BREEANNA,BREE
BRENDA,BRANDY
BRIAN,BRYAN
BRIAN,BRYANT
BRIANNA,BRI
BRIDGET,BRIDIE
BRIDGET,BIDDY
BRIDGET,BRIDGIE
BRIDGET,BIDDIE
BRITTANY,BRITT
BRITTNEY,BRITT
BRODERICK,RICKY
BRODERICK,BRODY
BRODERICK,BRADY
BRODERICK,RICK
CAITLIN,CAIT
CAITLIN,CAITY
CAITLYN,CAIT
CAITLYN,CAITY
CALDONIA,CALLIEDONA
CALEB,CAL
CALIFORNIA,CALLIE
CALISTA,KISSY
CALPURNIA,CALLY
CALVIN,VIN
CALVIN,VINNY
CALVIN,CAL
CAMERON,RON
CAMERON,CAM
CAMERON,RONNY
CAMILLE,MILLIE
CAMILLE,CAMMIE
CAMPBELL,CAM
CANDACE,CANDY
CANDACE,DACEY
CARLOTTA,LOTTIE
CARLTON,CARL
CARMELLIA,MELLIA
CARMELO,MELO
CARMON,CHARM
CARMON,CAMMIE
CARMON,CARM
CAROL,LYNN
CAROL,CARRIE
CAROL,CAROLANN
CAROL,CASSIE
CAROL,CAROLINE
CAROL,CAROLE
CAROLANN,CAROL
CAROLANN,CAROLE
CAROLINE,LYNN
CAROLINE,CAROL
CAROLINE,CARRIE
CAROLINE,CASSIE
CAROLINE,CAROLE
CAROLYN,LYNN
CAROLYN,CARRIE
CAROLYN,CASSIE
CARRIE,CASSIE
CARTHAETTE,ETTA
CARTHAETTE,ETTY
CASEY,K.C.
CASPER,JASPER
CASSANDRA,SANDY
CASSANDRA,CASSIE
CASSANDRA,SANDRA
CASSIDY,CASSIE
CASSIDY,CASS
CASWELL,CASS
CATHERINE,KATHY
CATHERINE,KATY
CATHERINE,LENA
CATHERINE,KITTIE
CATHERINE,KIT
CATHERINE,TRINA
CATHERINE,CATHY
CATHERINE,KAY
CATHERINE,CASSIE
CATHLEEN,KATHY
CATHLEEN,KATY
CATHLEEN,LENA
CATHLEEN,KITTIE
CATHLEEN,KIT
CATHLEEN,TRINA
CATHLEEN,CATHY
CATHLEEN,KAY
CATHLEEN,CASSIE
CATHY,KATHY
CATHY,CATHLEEN
CATHY,CATHERINE
CECILIA,CISSY
CECILIA,CELIA
CEDRIC,CED
CEDRIC,RICK
CEDRIC,RICKY
CELESTE,LESSIE
CELESTE,CELIA
CELINDA,LINDA
CELINDA,LYNN
CELINDA,LINDY
CHARITY,CHAT
CHARLES,CHARLIE
CHARLES,CHUCK
CHARLES,CARL
CHARLES,CHICK
CHARLIE,CHARLES
CHARLIE,CHUCK
CHARLOTTE,CHAR
CHARLOTTE,SHERRY
CHARLOTTE,LOTTIE
CHARLOTTE,LOTTA
CHAUNCEY,CHAN
CHERYL,CHER
CHESLEY,CHET
CHESTER,CHET
CHET,CHESTER
CHICK,CHARLOTTE
CHICK,CAROLINE
CHICK,CHUCK
CHLOE,CLO
CHRIS,CHRISTINA
CHRIS,CHRISTOPHER
CHRIS,CHRISTINE
CHRISTA,CHRIS
CHRISTIAN,CHRIS
CHRISTIAN,KIT
CHRISTIANA,KRIS
CHRISTIANA,KRISTY
CHRISTIANA,ANN
CHRISTIANA,TINA
CHRISTIANA,CHRISTY
CHRISTIANA,CHRIS
CHRISTIANA,CRISSY
CHRISTIANO,CHRIS
CHRISTINA,KRIS
CHRISTINA,KRISTY
CHRISTINA,TINA
CHRISTINA,CHRISTY
CHRISTINA,CHRIS
CHRISTINA,CRISSY
CHRISTINE,KRIS
CHRISTINE,KRISTY
CHRISTINE,CHRISSY
CHRISTINE,TINA
CHRISTINE,CHRIS
CHRISTINE,CRISSY
CHRISTOPH,CHRIS
CHRISTOPHER,CHRIS
CHRISTOPHER,KIT
CHRISTY,CRISSY
CICELY,CILLA
CINDERELLA,ARILLA
CINDERELLA,RELLA
CINDERELLA,CINDY
CINDERELLA,RILLA
CINDY,CINDERELLA
CLAIRE,CLAIR
CLAIRE,CLARE
CLAIRE,CLARA
CLARA,CLARISSA
CLARE,CLARA
CLARENCE,CLARE
CLARENCE,CLAIR
CLARINDA,CLARA
CLARISSA,CISSY
CLARISSA,CLARA
CLAUDIA,CLAUD
CLEATUS,CLEAT
CLEMENT,CLEM
CLEMENTINE,CLEMENT
CLEMENTINE,CLEM
CLIFF,CLIFFORD
CLIFF,CLIFF
CLIFFORD,FORD
CLIFFORD,CLIFF
CLIFTON,TONY
CLIFTON,CLIFF
COLE,COLIE
COLUMBUS,CLUM
CON,CONNY
CONRAD,CONNY
CONRAD,CON
CONSTANCE,CONNIE
CORDELIA,CORDY
CORDELIA,DELIA
COREY,COCO
COREY,CORDY
COREY,REE
CORINNE,CORA
CORINNE,ORA
CORNELIA,NELLY
CORNELIA,CORNIE
CORNELIA,NELIA
CORNELIA,CORNY
CORNELIA,NELLE
CORNELIUS,CONNY
CORNELIUS,NIEL
CORNELIUS,CORNY
CORNELIUS,CON
CORY,COCO
CORY,CORDY
CORY,REE
COURTNEY,CURT
COURTNEY,COURT
CRYSTAL,CHRIS
CRYSTAL,TAL
CRYSTAL,STAL
CRYSTAL,CRYS
CURTIS,CURT
CYNTHIA,CINTHA
CYNTHIA,CINDY
CYRENIUS,SWENE
CYRENIUS,CY
CYRENIUS,SERENE
CYRENIUS,RENIUS
CYRENIUS,CENE
CYRUS,CY
DAHL,DAL
DALTON,DAHL
DALTON,DAL
DANIEL,DAN
DANIEL,DANNY
DANIEL,DANN
DANIELLE,ELLIE
DANIELLE,DANI
DANNY,DANIEL
DAPHNE,DAPH
DAPHNE,DAPHIE
DARLENE,LENA
DARLENE,DARRY
DAVID,DAVE
DAVID,DAY
DAVID,DAVEY
DEANNE,ANN
DEANNE,DEE
DEBBIE,DEB
DEBBIE,DEBRA
DEBBIE,DEBORAH
DEBBIE,DEBBY
DEBBY,DEB
DEBORA,DEB
DEBORA,DEBBIE
DEBORA,DEBBY
DEBORAH,DEB
DEBORAH,DEBBIE
DEBORAH,DEBBY
DEBRA,DEB
DEBRA,DEBBIE
DEIDRE,DEEDEE
DELBERT,BERT
DELBERT,DEL
DELIA,FIDELIA
DELIA,CORDELIA
DELIA,DELIUS
DELILAH,LIL
DELILAH,LILA
DELILAH,DELL
DELILAH,DELLA
DELIVERANCE,DELLY
DELIVERANCE,DILLY
DELIVERANCE,DELLA
DELLA,ADELA
DELLA,DELILAH
DELLA,ADELAIDE
DELLA,DELL
DELORES,LOLLY
DELORES,LOLA
DELORES,DELLA
DELORES,DEE
DELORES,DELL
DELPHA,PHILADELPHIA
DELPHINE,DELPHI
DELPHINE,DEL
DELPHINE,DELF
DEMARIS,DEA
DEMARIS,MARIS
DEMARIS,MARY
DEMERIAS,DEA
DEMERIAS,MARIS
DEMERIAS,MARY
DEMOCRATES,MOCK
DENNIS,DENNY
DENNISON,DENNY
DERRICK,RICKY
DERRICK,ERIC
DERRICK,RICK
DEUTERONOMY,DUTY
DIANA,DICEY
DIANA,DIDI
DIANA,DI
DIANE,DICEY
DIANE,DIDI
DIANE,DI
DICEY,DICIE
DICK,RICK
DICK,RICHARD
DICKSON,DICK
DOMENIC,DOM
DOMINIC,DOM
DOMINICK,DOM
DONALD,DONY
DONALD,DONNIE
DONALD,DON
DONALD,DONNY
DONOVAN,DONY
DONOVAN,DONNIE
DONOVAN,DON
DONOVAN,DONNY
DORCUS,DARKEY
DORINDA,DOROTHEA
DORINDA,DORA
DORIS,DORA
DOROTHEA,DODA
DOROTHEA,DORA
DOROTHY,DORTHA
DOROTHY,DOLLY
DOROTHY,DOT
DOROTHY,DOTTY
DOTHA,DOTTY
DOTTY,DOT
DOUGLAS,DOUG
DRUSILLA,SILLA
DUNCAN,DUNK
EARNEST,ERNESTINE
EARNEST,ERNIE
EBBIE,EB
EBENEZER,EBBIE
EBENEZER,EBEN
EBENEZER,EB
EDDIE,ED
EDDY,ED
EDGAR,ED
EDGAR,EDDIE
EDGAR,EDDY
EDITH,EDIE
EDITH,EDYE
EDMOND,ED
EDMOND,EDDIE
EDMOND,EDDY
EDMUND,ED
EDMUND,EDDIE
EDMUND,TED
EDMUND,EDDY
EDMUND,NED
EDNA,EDNY
EDUARDO,ED
EDUARDO,EDDIE
EDUARDO,EDDY
EDWARD,TEDDY
EDWARD,ED
EDWARD,NED
EDWARD,TED
EDWARD,EDDY
EDWARD,EDDIE
EDWIN,ED
EDWIN,EDDIE
EDWIN,WIN
EDWIN,EDDY
EDWIN,NED
EDWINA,EDWIN
EDYTH,EDIE
EDYTH,EDYE
EDYTHE,EDIE
EDYTHE,EDYE
EGBERT,BERT
EGBERT,BURT
EIGHTA,ATHY
EILEEN,HELEN
ELAINE,LAINIE
ELAINE,HELEN
ELBERT,ALBERT
ELBERTSON,ELBERT
ELBERTSON,BERT
ELEANOR,LANNA
ELEANOR,NORA
ELEANOR,NELLY
ELEANOR,ELLIE
ELEANOR,ELAINE
ELEANOR,ELLEN
ELEANOR,LENORA
ELEAZER,LAZAR
ELENA,HELEN
ELIAS,ELI
ELIAS,LEE
ELIAS,LIAS
ELIJAH,LIGE
ELIJAH,ELI
ELIPHALEL,LIFE
ELIPHALET,LEFT
ELISA,LISA
ELISHA,LISH
ELISHA,ELI
ELIZA,ELIZABETH
ELIZABETH,LIBBY
ELIZABETH,LISA
ELIZABETH,LIB
ELIZABETH,LIZZY
ELIZABETH,LIZZIE
ELIZABETH,ELIZA
ELIZABETH,BETSY
ELIZABETH,LIZA
ELIZABETH,BETTY
ELIZABETH,BESSIE
ELIZABETH,BESS
ELIZABETH,BETH
ELIZABETH,LIZ
ELLA,ELLEN
ELLEN,NELLIE
ELLEN,NELL
ELLEN,HELEN
ELLENDER,NELLIE
ELLENDER,ELLEN
ELLENDER,HELEN
ELLIE,ELLY
ELLSWOOD,ELSEY
ELMINIE,MINNIE
ELMIRA,ELLIE
ELMIRA,ELLY
ELMIRA,MIRA
ELNORA,NORA
ELOISE,HELOISE
ELOISE,LOUISE
ELOUISE,LOUISE
ELSIE,ELSEY
ELSWOOD,ELSEY
ELVIRA,ELVIE
ELWOOD,WOODY
ELYSIA,LISA
ELZE,ELSEY
EMANUEL,MANUEL
EMANUEL,MANNY
EMELINE,EM
EMELINE,EMMY
EMELINE,EMMA
EMELINE,MILLY
EMELINE,EMILY
EMIL,EMILY
EMILY,EMMY
EMILY,MILLIE
EMILY,EMMA
EMILY,MEL
EMMA,EMMY
EPAPHRODITIUS,DITE
EPAPHRODITIUS,DITUS
