CurrentState,Year,Population Retained,Domestic Immigrants,Foreign Immigrants,Total Immigrants,Total Emigrants,Assumed Population
Connecticut,2010,3443646,77333,20167,97500,89360.0,3451786.0
Delaware,2010,854641,30759,4412,35171,30055.0,859757.0
District of Columbia ,2010,538442,51244,7061,58305,56052.0,540695.0
Florida,2010,18013538,482889,151173,634062,427853.0,18219747.0
Georgia,2010,9293957,249459,43821,293280,244992.0,9342245.0
Hawaii,2010,1274887,53581,17806,71387,49218.0,1297056.0
Idaho,2010,1489128,55638,6201,61839,53122.0,1497845.0
Illinois,2010,12414377,203959,61790,265749,277579.0,12402547.0
Indiana,2010,6264101,127353,23408,150761,130170.0,6284692.0
Iowa,2010,2928860,72557,11636,84193,66922.0,2946131.0
Kansas,2010,2713562,95059,12273,107332,90681.0,2730213.0
Kentucky,2010,4158146,118443,20050,138493,92999.0,4203640.0
Louisiana,2010,4373681,97889,11959,109848,88131.0,4395398.0
Maine,2010,1283515,27758,2629,30387,32209.0,1281693.0
Maryland,2010,5506516,164484,45785,210269,159866.0,5556919.0
Massachusetts,2010,6290274,140162,58814,198976,144152.0,6345098.0
Michigan,2010,9601999,116149,43979,160128,178207.0,9583920.0
Minnesota,2010,5128576,89872,25808,115680,104765.0,5139491.0
Mississippi,2010,2850995,72321,7912,80233,68363.0,2862865.0
Missouri,2010,5755647,145226,19985,165211,148055.0,5772803.0
Montana,2010,939461,35630,3416,39046,35870.0,942637.0
Nebraska,2010,1744143,51290,7264,58554,43531.0,1759166.0
Nevada,2010,2547671,102677,17016,119693,109409.0,2557955.0
New Hampshire,2010,1259572,39367,4926,44293,38399.0,1265466.0
New Jersey,2010,8525952,127369,56612,183981,193972.0,8515961.0
New Mexico,2010,1956613,73605,9331,82936,50438.0,1989111.0
New York,2010,18755745,269427,146744,416171,363139.0,18808777.0
North Carolina,2010,9123018,263256,56726,319982,207025.0,9235975.0
North Dakota,2010,631942,30100,3612,33712,24450.0,641204.0
Ohio,2010,11198628,172633,33840,206473,188013.0,11217088.0
Oklahoma,2010,3594321,106511,15432,121943,90616.0,3625648.0
Oregon,2010,3656737,116700,20571,137271,100185.0,3693823.0
Pennsylvania,2010,12292221,235580,49754,285334,209810.0,12367745.0
Rhode Island,2010,999886,32059,10295,42354,24948.0,1017292.0
South Carolina,2010,4408840,152441,16118,168559,117569.0,4459830.0
South Dakota,2010,777798,25777,2041,27818,27915.0,777701.0
Tennessee,2010,6100851,159778,22077,181855,143135.0,6139571.0
Texas,2010,24240500,486558,172017,658575,411641.0,24487434.0
Utah,2010,2629046,77780,17238,95018,75541.0,2648523.0
Vermont,2010,594007,22529,2827,25356,18380.0,600983.0
Virginia,2010,7622801,259507,48465,307972,232002.0,7698771.0
Washington,2010,6411908,191784,57629,249413,166162.0,6495159.0
West Virginia,2010,1791293,39609,2633,42242,49349.0,1784186.0
Wisconsin,2010,5515637,93065,14494,107559,111240.0,5511956.0
Wyoming,2010,526869,28046,2039,30085,28186.0,528768.0
Puerto Rico,2010,3639772,31732,4989,36721,,
Alabama,2011,4612735,117726,14817,132543,106806.0,4638472.0
Alaska,2011,672137,35084,4741,39825,88850.0,623112.0
Arizona,2011,6135862,222877,43562,266439,211816.0,6190485.0
Arkansas,2011,2827577,69845,9210,79055,77226.0,2829406.0
California,2011,36484478,468428,269772,738200,562343.0,36660335.0
Colorado,2011,4811275,202124,35044,237168,160623.0,4887820.0
Connecticut,2011,3456379,71502,20786,92288,91295.0,3457372.0
Delaware,2011,858570,33912,4705,38617,26631.0,870556.0
District of Columbia ,2011,556178,48066,7364,55430,49732.0,561876.0
Florida,2011,18196423,498597,168928,667525,437202.0,18426746.0
Georgia,2011,9384857,271077,43925,315002,248892.0,9450967.0
Hawaii,2011,1283675,57542,16589,74131,61940.0,1295866.0
Idaho,2011,1492964,60336,6337,66673,57831.0,1501806.0
Illinois,2011,12430381,216204,71817,288021,269008.0,12449394.0
Indiana,2011,6287841,127874,21440,149314,143228.0,6293927.0
Iowa,2011,2943867,70405,13446,83851,74516.0,2953202.0
Kansas,2011,2734815,83640,15129,98769,94180.0,2739404.0
Kentucky,2011,4191973,110031,14293,124324,99256.0,4217041.0
Louisiana,2011,4403809,99138,15682,114820,86593.0,4432036.0
Maine,2011,1277466,33818,4549,38367,33729.0,1282104.0
Maryland,2011,5562347,153979,42761,196740,165041.0,5594046.0
Massachusetts,2011,6315209,139830,60018,199848,145869.0,6369188.0
Michigan,2011,9583684,139158,43732,182890,186505.0,9580069.0
Minnesota,2011,5151638,101029,24662,125691,103253.0,5174076.0
Mississippi,2011,2866970,68511,7540,76051,68597.0,2874424.0
Missouri,2011,5764086,149439,24371,173810,138404.0,5799492.0
Montana,2011,950464,33553,3059,36612,31204.0,955872.0
Nebraska,2011,1758460,52070,6596,58666,52809.0,1764317.0
Nevada,2011,2564985,110345,13006,123351,115943.0,2572393.0
New Hampshire,2011,1263365,37000,5313,42313,43277.0,1262401.0
New Jersey,2011,8519041,140194,60717,200911,216369.0,8503583.0
New Mexico,2011,1981631,62130,11532,73662,61431.0,1993862.0
New York,2011,18811365,282209,155111,437320,377800.0,18870885.0
North Carolina,2011,9230748,265291,43373,308664,225147.0,9314265.0
North Dakota,2011,639743,32510,2908,35418,26563.0,648598.0
Ohio,2011,11190075,191778,37091,228869,206049.0,11212895.0
Oklahoma,2011,3617539,108878,16281,125159,81009.0,3661689.0
Oregon,2011,3677453,127906,23355,151261,109795.0,3718919.0
Pennsylvania,2011,12323641,234291,52554,286845,215127.0,12395359.0
Rhode Island,2011,1005475,26769,7778,34547,31065.0,1008957.0
South Carolina,2011,4446371,157644,20165,177809,121426.0,4502754.0
South Dakota,2011,783091,27506,3578,31084,29383.0,784792.0
Tennessee,2011,6137534,170969,24963,195932,154243.0,6179223.0
Texas,2011,24633115,514726,179263,693989,404839.0,24922265.0
Utah,2011,2669945,85217,14465,99682,73211.0,2696416.0
Vermont,2011,598023,20463,2868,23331,18172.0,603182.0
Virginia,2011,7679371,257130,60051,317181,229227.0,7767325.0
Washington,2011,6484994,208507,54973,263480,190644.0,6557830.0
West Virginia,2011,1781372,50068,5174,55242,45956.0,1790658.0
Wisconsin,2011,5522173,109439,15601,125040,105370.0,5541843.0
Wyoming,2011,529456,30651,1282,31933,31991.0,529398.0
Puerto Rico,2011,3641865,22649,4681,27330,,
Alabama,2012,4644586,104600,15242,119842,109210.0,4655218.0
Alaska,2012,683164,33415,4607,38022,84068.0,637118.0
Arizona,2012,6196463,232457,39987,272444,206842.0,6262065.0
Arkansas,2012,2826393,76948,9339,86287,64967.0,2847713.0
California,2012,36824486,493641,254611,748252,566986.0,37005752.0
Colorado,2012,4883278,205060,35606,240666,161530.0,4962414.0
Connecticut,2012,3449858,80311,25150,105461,87023.0,3468296.0
Delaware,2012,868219,34757,3600,38357,25149.0,881427.0
District of Columbia ,2012,562259,53830,8758,62588,59513.0,565334.0
Florida,2012,18412905,537148,164567,701715,428325.0,18686295.0
Georgia,2012,9467686,277466,51395,328861,252262.0,9544285.0
Hawaii,2012,1298972,55145,20735,75880,61509.0,1313343.0
Idaho,2012,1507126,59283,6627,65910,55191.0,1517845.0
Illinois,2012,12450512,208755,65852,274607,277953.0,12447166.0
Indiana,2012,6298318,134137,24612,158749,144597.0,6312470.0
Iowa,2012,2948917,75760,10792,86552,73325.0,2962144.0
Kansas,2012,2743594,88284,16830,105114,93134.0,2755574.0
Kentucky,2012,4197983,112787,17856,130643,103004.0,4225622.0
Louisiana,2012,4440429,91215,14270,105485,95956.0,4449958.0
Maine,2012,1283782,27523,4281,31804,38574.0,1277012.0
Maryland,2012,5618430,154983,43059,198042,157664.0,5658808.0
Massachusetts,2012,6378546,142577,59518,202095,158156.0,6422485.0
Michigan,2012,9599095,133981,45904,179885,175733.0,9603247.0
Minnesota,2012,5189315,101042,24871,125913,115946.0,5199282.0
Mississippi,2012,2869184,73500,5012,78512,66947.0,2880749.0
Missouri,2012,5766552,162930,22431,185361,142754.0,5809159.0
Montana,2012,955952,37690,1902,39592,33832.0,961712.0
Nebraska,2012,1778298,43266,7856,51122,48816.0,1780604.0
Nevada,2012,2586566,124285,14429,138714,98882.0,2626398.0
New Hampshire,2012,1252494,50484,6225,56709,38696.0,1270507.0
New Jersey,2012,8585035,130223,57486,187709,219202.0,8553542.0
New Mexico,2012,1995584,54693,10318,65011,63921.0,1996674.0
New York,2012,18925251,270053,156849,426902,405864.0,18946289.0
North Carolina,2012,9316910,273149,50431,323580,238663.0,9401827.0
North Dakota,2012,648272,38213,3353,41566,23959.0,665879.0
Ohio,2012,11176205,196391,42039,238430,199202.0,11215433.0
Oklahoma,2012,3638714,108972,14625,123597,102572.0,3659739.0
Oregon,2012,3719123,118925,19417,138342,108182.0,3749283.0
Pennsylvania,2012,12359488,215500,55094,270594,237156.0,12392926.0
Rhode Island,2012,1000716,33446,6365,39811,30498.0,1010029.0
South Carolina,2012,4493976,156705,18205,174910,127418.0,4541468.0
South Dakota,2012,791620,26051,3998,30049,22534.0,799135.0
Tennessee,2012,6179910,177098,21270,198368,163843.0,6214435.0
Texas,2012,25010317,507752,193722,701474,402187.0,25309604.0
Utah,2012,2697999,87870,19571,107441,82165.0,2723275.0
Vermont,2012,593479,24431,2314,26745,20056.0,600168.0
Virginia,2012,7772672,250653,62064,312717,238540.0,7846849.0
Washington,2012,6552894,215494,47375,262869,180462.0,6635301.0
West Virginia,2012,1787434,47125,2959,50084,47425.0,1790093.0
Wisconsin,2012,5543682,99192,17803,116995,97724.0,5562953.0
Wyoming,2012,536550,31149,2035,33184,32228.0,537506.0
Puerto Rico,2012,3604635,20044,3723,23767,,
Alabama,2013,4662266,104102,14928,119030,97219.0,4684077.0
Alaska,2013,683752,34360,7081,41441,99931.0,625262.0
Arizona,2013,6262505,236146,44711,280857,183178.0,6360184.0
Arkansas,2013,2843644,70621,9377,79998,76963.0,2846679.0
California,2013,37096264,485477,291448,776925,581679.0,37291510.0
Colorado,2013,4965163,206543,34306,240849,166348.0,5039664.0
Connecticut,2013,3453316,88351,21292,109643,91600.0,3471359.0
Delaware,2013,872641,36790,4594,41384,24771.0,889254.0
District of Columbia ,2013,578875,46571,11089,57660,57087.0,579448.0
Florida,2013,18641480,529406,174173,703579,423995.0,18921064.0
Georgia,2013,9535810,278972,55537,334509,270146.0,9600173.0
Hawaii,2013,1313593,58083,15685,73768,60437.0,1326924.0
Idaho,2013,1522653,61592,8351,69943,63788.0,1528808.0
Illinois,2013,12448246,223605,68965,292570,304644.0,12436172.0
Indiana,2013,6335035,133508,23763,157271,135472.0,6356834.0
Iowa,2013,2965459,75650,12526,88176,77470.0,2976165.0
Kansas,2013,2749934,89735,15200,104935,93983.0,2760886.0
Kentucky,2013,4224016,103207,17963,121170,98713.0,4246473.0
Louisiana,2013,4460221,91889,16210,108099,99711.0,4468609.0
Maine,2013,1274596,36780,4377,41157,28840.0,1286913.0
Maryland,2013,5650151,161525,45537,207062,183316.0,5673897.0
Massachusetts,2013,6425205,135150,59644,194794,155524.0,6464475.0
Michigan,2013,9590989,144091,49014,193105,166996.0,9617098.0
Minnesota,2013,5221411,104825,27205,132030,119221.0,5234220.0
Mississippi,2013,2882392,68588,6817,75405,72430.0,2885367.0
Missouri,2013,5794741,159936,18771,178707,138612.0,5834836.0
Montana,2013,957681,40035,5297,45332,31590.0,971423.0
Nebraska,2013,1788495,45854,8551,54405,47755.0,1795145.0
Nevada,2013,2614210,126583,16572,143155,100922.0,2656443.0
New Hampshire,2013,1259783,44867,6328,51195,46086.0,1264892.0
New Jersey,2013,8608807,136907,57965,194872,202319.0,8601360.0
New Mexico,2013,1989477,56808,13404,70212,75597.0,1984092.0
New York,2013,19012943,272066,146945,419011,401440.0,19030514.0
North Carolina,2013,9409992,275922,51451,327373,247090.0,9490275.0
North Dakota,2013,672621,38908,3275,42183,29808.0,684996.0
Ohio,2013,11207181,185749,46663,232412,201515.0,11238078.0
Oklahoma,2013,3676738,109255,15528,124783,100561.0,3700960.0
Oregon,2013,3726285,143841,18090,161931,111680.0,3776536.0
Pennsylvania,2013,12354315,224280,60898,285178,247295.0,12392198.0
Rhode Island,2013,999222,34108,7656,41764,36119.0,1004867.0
South Carolina,2013,4537368,166047,17187,183234,128726.0,4591876.0
South Dakota,2013,800372,30042,2289,32331,29118.0,803585.0
Tennessee,2013,6208473,186525,24228,210753,159497.0,6259729.0
Texas,2013,25353947,548034,185368,733402,409977.0,25677372.0
Utah,2013,2738607,97869,18191,116060,91943.0,2762724.0
Vermont,2013,595686,23180,2390,25570,21773.0,599483.0
Virginia,2013,7836985,266348,60331,326679,236420.0,7927244.0
Washington,2013,6628070,208215,52267,260482,191053.0,6697499.0
West Virginia,2013,1782948,51957,2958,54915,48627.0,1789236.0
Wisconsin,2013,5561260,100846,18918,119764,110198.0,5570826.0
Wyoming,2013,546416,27584,1933,29517,28150.0,547783.0
Puerto Rico,2013,3550121,24652,4447,29099,,
Alabama,2014,4670733,107919,13279,121198,111655.0,4680276.0
Alaska,2014,683274,37842,4090,41932,92637.0,632569.0
Arizona,2014,6353370,249730,48864,298594,203810.0,6448154.0
Arkansas,2014,2847276,74741,9106,83847,65198.0,2865925.0
California,2014,37508335,513968,318021,831989,593308.0,37747016.0
Colorado,2014,5041697,218728,33518,252246,173332.0,5120611.0
Connecticut,2014,3445986,82746,30183,112929,95501.0,3463414.0
Delaware,2014,888151,32166,4453,36619,27179.0,897591.0
District of Columbia ,2014,580920,56234,11432,67666,59138.0,589448.0
Florida,2014,18941457,546501,195805,742306,437516.0,19246247.0
Georgia,2014,9644575,274095,51497,325592,245570.0,9724597.0
Hawaii,2014,1330740,58144,12120,70264,60739.0,1340265.0
Idaho,2014,1542744,64633,5691,70324,56887.0,1556181.0
Illinois,2014,12452513,209536,68157,277693,323468.0,12406738.0
Indiana,2014,6351272,139846,25063,164909,136869.0,6379312.0
Iowa,2014,2974299,79194,14379,93573,76960.0,2990912.0
Kansas,2014,2754955,96467,15162,111629,93047.0,2773537.0
Kentucky,2014,4238919,104975,13925,118900,98496.0,4259323.0
Louisiana,2014,4482144,97814,13547,111361,85901.0,4507604.0
Maine,2014,1273008,39065,5565,44630,32076.0,1285562.0
Maryland,2014,5707504,156787,46944,203731,177059.0,5734176.0
Massachusetts,2014,6457254,146622,71031,217653,153736.0,6521171.0
Michigan,2014,9597532,149991,48136,198127,173337.0,9622322.0
Minnesota,2014,5248535,106783,29901,136684,121319.0,5263900.0
Mississippi,2014,2875532,73927,8199,82126,72543.0,2885115.0
Missouri,2014,5818915,153320,19960,173280,154226.0,5837969.0
Montana,2014,971650,37561,2958,40519,35654.0,976515.0
Nebraska,2014,1793976,52200,9180,61380,43219.0,1812137.0
Nevada,2014,2662373,130390,13407,143797,103599.0,2702571.0
New Hampshire,2014,1267812,41393,5530,46923,41391.0,1273344.0
New Jersey,2014,8647852,128911,63583,192494,208583.0,8631763.0
New Mexico,2014,1982509,68917,8763,77680,70144.0,1990045.0
New York,2014,19111245,258571,158404,416975,424074.0,19104146.0
North Carolina,2014,9499633,286533,45986,332519,248938.0,9583214.0
North Dakota,2014,687592,39059,3223,42282,27685.0,702189.0
Ohio,2014,11226197,196742,41952,238694,207006.0,11257885.0
Oklahoma,2014,3698848,111346,17094,128440,102615.0,3724673.0
